"5674","podwoić","podwo","podwoj","podwoić","2倍にする","to double","4","aorist","0","0"
"9995","podwajać","podwaj","podwaj","podwajać","2倍にする","to double","1","present","0","0"
"9167","czworzyć","czworzy","czworz","czworzyć","4倍にする","to quadruple","4y","present","0","0"
"4","achać","ach","ach","achać","ああへ","to ah","1","present","0","0"
"520","przesłaniać","przesłani","przesłani","przesłaniać","あいまくなる","obscure","1","present","0","0"
"11188","zipać","zip","zip","zipać","あえぎをする、状態が悪いために機能が困難になる","to pant, to function with difficulty due to poor condition","1","present","0","0"
"256","odważać","odważ","odważ","odważać","あえてする","to dare","1","present","0","0"
"5649","podpuścić","podpuśc","podpuśc","podpuścić","あえてする","dare","4","aorist","0","0"
"9266","dybać","dyb","dyb","dybać","あえてする","dare","1","present","0","0"
"9885","ośmielać","ośmiel","ośmiel","ośmielać","あえてする","dare","1","present","0","0"
"5779","pooddawać","pooddaw","pooddaw","pooddawać","あきらめる","give up","1","aorist","0","0"
"7831","zaniechać","zaniech","zaniech","zaniechać","あきらめる","give up","1","aorist","0","0"
"9953","poddawać","poddaw","poddaw","poddawać","あきらめる","give up","1","present","0","0"
"8289","ziewnąć","ziewnie","ziewn","ziewnąć","あくびする","yawn","3","aorist","0","0"
"11186","ziewać","ziew","ziew","ziewać","あくびする","yawn","1","present","0","0"
"8503","zwieńczyć","zwieńczy","zwieńcz","zwieńczyć","あげくの果てに","to top it off","4y","aorist","0","0"
"2500","sztorcować","sztorcuje","sztorcuj","sztorcować","あご","jaw","denomitive","present","0","0"
"3785","sztorcować","sztorcuje","sztorcuj","sztorcować","あご","jaw","denomitive","aorist","0","0"
"4234","drwić","drw","drw","drwić","あざ笑う、ばかにする","mock","4","present","0","0"
"4268","kpić","kp","kp","kpić","あざ笑う、ばかにする","mock","4","present","0","0"
"12093","potłuc","potłucze","potłuk","potłuc","あちこち折れる、ぶち当たる、粉々になる、ぶつかって体の一部が壊れる、転んで体の一部が折れる、壊れる、つぶれる、ぶつかって怪我をする、転んで怪我をする","to break in many places, to smash, to shatter, to break body part in collision, to break body part in fall, to break, to smash, to injure oneself in collision, to injure oneself in fall","3root","aorist","0","0"
"10094","przeczołgiwać","przeczołgiw","przeczołgiw","przeczołgiwać","あちこち歩き回る、輪っかを走り回る、はいはいをしてある程度の距離をカバーする","to walk all over, to run rings around, to cover some distance by crawling","1","present","0","0"
"10200","przyczołgiwać","przyczołgiw","przyczołgiw","przyczołgiwać","あちこち歩き回る、輪っかを走り回る、はいはいをしてある程度の距離をカバーする","to walk all over, to run rings around, to cover some distance by crawling","1","present","0","0"
"5371","odstać","odst","odst","odstać","あとじさる","stand off","1","aorist","0","0"
"6939","uprażyć","upraży","upraż","uprażyć","あぶり焼きにする","roast","4y","aorist","0","0"
"10074","prażyć","praży","praż","prażyć","あぶり焼きにする","roast","4y","present","0","0"
"3068","ferować","feruje","feruj","ferować","あらいたてる","to ferret out","denomitive","aorist","0","0"
"12272","okuć","okuje","okuj","okuć","あらいたてる","ferret out","denomitive2","aorist","0","0"
"1477","arfować","arfuje","arfuj","arfować","ありゃりゃ","arf","denomitive","present","0","0"
"2762","arfować","arfuje","arfuj","arfować","ありゃりゃ","arf","denomitive","aorist","0","0"
"6046","przelecieć","przeleciej","przeleciej","przelecieć","ある場所から別の場所へ飛ぶ","to fly from one place to another","2","aorist","0","0"
"2097","majsterkować","majsterkuje","majsterkuj","majsterkować","いじくり回す","tinker","denomitive","present","0","0"
"2098","majstrować","majstruje","majstruj","majstrować","いじくり回す","tinker","denomitive","present","0","0"
"3382","majsterkować","majsterkuje","majsterkuj","majsterkować","いじくり回す","tinker","denomitive","aorist","0","0"
"3383","majstrować","majstruje","majstruj","majstrować","いじくり回す","tinker","denomitive","aorist","0","0"
"5756","pomajsterkować","pomajsterkuje","pomajsterkuj","pomajsterkować","いじくり回す","tinker","denomitive","aorist","0","0"
"9064","bulić","bul","buli","bulić","いじめっ子","bully","4","present","0","0"
"20","czepiać","czepi","czepi","czepiać","いじめる","pick on","1","present","0","0"
"1303","znęcać","znęc","znęc","znęcać","いじめる","bully","1","present","0","0"
"1543","bastować","bastuje","bastuj","bastować","いじめる","bully","denomitive","present","0","0"
"2828","bastować","bastuje","bastuj","bastować","いじめる","bully","denomitive","aorist","0","0"
"8330","zmaltretować","zmaltretuje","zmaltretuj","zmaltretować","いじめる","bully","denomitive","aorist","0","0"
"8412","znękać","znęk","znęk","znękać","いじめる","bully","1","aorist","0","0"
"9021","bełtać","bełt","bełt","bełtać","いじる","to mess around","1","present","0","0"
"4315","psocić","psoc","psoc","psocić","いたずらをする","make mischief","4","present","0","0"
"2323","przyjmować","przyjmuje","przyjmuj","przyjmować","いただく","accept","denomitive","present","0","0"
"4111","smętnieć","smętniej","smętniej","smętnieć","いたみ悲しむ","become sad","2","present","0","0"
"5840","posmutnieć","posmutniej","posmutniej","posmutnieć","いたみ悲しむ","become sad","2","aorist","0","0"
"10479","smęcić","smęc","smęci","smęcić","いたみ悲しむ","sadden","4","present","0","0"
"11126","zasmucać","zasmuc","zasmuc","zasmucać","いたみ悲しむ","sadden","1","present","0","0"
"7593","zabujać","zabuj","zabuj","zabujać","いちびる","disturb","1","aorist","0","0"
"9322","ględzić","ględz","ględzi","ględzić","いちびる","mess around","4","present","0","0"
"495","przepełniać","przepełni","przepełni","przepełniać","いっぱいにし過ぎる","overfill","1","present","0","0"
"6069","przepełnić","przepełn","przepełni","przepełnić","いっぱいにし過ぎる","overfill","4","aorist","0","0"
"5053","najebać","najeb","najeb","najebać","いっぱいにする","fill up","1","aorist","0","0"
"5086","napełnić","napełn","napełni","napełnić","いっぱいにする","fill up","4","aorist","0","0"
"9626","najadać","najad","najad","najadać","いっぱいにする","fill up","1","present","0","0"
"9107","chrapać","chrap","chrap","chrapać","いびきをかく","to snore","1","present","0","0"
"9479","kwakać","kwak","kwak","kwakać","いんちきする","to quack","1","present","0","0"
"10954","wypłukiwać","wypłukiw","wypłukiw","wypłukiwać","うがいする","rinse out","1","present","0","0"
"9490","kłamać","kłam","kłam","kłamać","うそをつく","to lie","1","present","0","0"
"9503","leżeć","leży","leż","leżeć","うそをつく","to lie","2","present","0","0"
"5849","posrać","posr","posr","posrać","うっかりデュースを落とす","to drop deuce unintentionally","1","aorist","0","0"
"5574","pochmurnieć","pochmurniej","pochmurniej","pochmurnieć","うっとおしい","cloudy","2","aorist","0","0"
"9941","pochmurnieć","pochmurniej","pochmurniej","pochmurnieć","うっとおしい","cloudy","2","present","0","0"
"4972","kiwnąć","kiwnie","kiwn","kiwnąć","うなずく","nod","3","aorist","0","0"
"5726","pokiwać","pokiw","pokiw","pokiwać","うなずく","nod","1","aorist","0","0"
"6261","przytaknąć","przytaknie","przytakn","przytaknąć","うなずく","to nod","3","aorist","0","0"
"6535","skinąć","skinie","skin","skinąć","うなずく","nod","3","aorist","0","0"
"10249","przytakiwać","przytakiw","przytakiw","przytakiwać","うなずく","nod","1","present","0","0"
"4813","burknąć","burknie","burkn","burknąć","うなり声をあげる","to grunt","3","aorist","0","0"
"4829","chrumknąć","chrumknie","chrumkn","chrumknąć","うなり声をあげる","to grunt","3","aorist","0","0"
"4830","chrząknąć","chrząknie","chrząkn","chrząknąć","うなり声をあげる","to grunt","3","aorist","0","0"
"9113","chrząkać","chrząk","chrząk","chrząkać","うなり声をあげる","to grunt","1","present","0","0"
"10772","warczeć","warczej","warczej","warczeć","うなる","growl","2","present","0","0"
"4280","kłębić","kłęb","kłęb","kłębić","うねり","surge","4","present","0","0"
"2034","kołować","kołuje","kołuj","kołować","うねる、婉曲的な言葉を使う、回りくどい、うそをつく、飛行機を動かす、曲がった道を移動する、互いにうそをつく","to meander, to use euphemistic language, to use circumlocution, to lie, to move an aircraft, to travel around along curved path, to lie to one another","denomitive","present","0","0"
"3319","kołować","kołuje","kołuj","kołować","うねる、婉曲的な言葉を使う、回りくどい、うそをつく、飛行機を動かす、曲がった道を移動する、互いにうそをつく","to meander, to use euphemistic language, to use circumlocution, to lie, to move an aircraft, to travel around along curved path, to lie to one another","denomitive","aorist","0","0"
"10049","powodzić","powodz","powodzi","powodzić","うまくいく、成功する、繁栄す、成功する、前進する、祝福する、幸運を祈る","to be doing well, to be successful, to prosper, to pan out, to be going, to bless, to wish good luck","4","present","0","0"
"4531","podchmielić","podchmiel","podchmiel","podchmielić","うまくいけば","hopefully","4","aorist","0","0"
"4965","jęknąć","jęknie","jękn","jęknąć","うめき声","groan","3","aorist","0","0"
