"1","absurdus","absurdus","absurd-","ばかげた、愚かな、無意味","absurd,silly,pointless","1-2","0","0","0"
"2","adversus","adversus","advers-","直面している、反対している、不利","facing,opposed,unfavorable","1-2","0","0","0"
"3","aeger","aeger","aegr-","病気の、病んだ","sick","1-2r","0","0","0"
"4","aequus","aequus","aequ-","等しい、公正な、平らな、公平な、正しい","equal,fair,level","1-2","0","0","0"
"5","aeternus","aeternus","aetern-","永遠の、不滅の、永遠の、永久の","eternal,immortal,everlasting,","1-2","0","0","0"
"6","albus","albus","alb-","白い、透明、明るい","white,clear,bright","1-2","0","0","0"
"7","aliēnus","aliēnus","aliēn-","不利な、他の、外国の、奇妙な、知らない人","unfavorable,another's,foreign,strange","1-2","0","0","0"
"8","alius","alius","alius alia aliud","別の、別の、別の時間に","another,other,at another time","irr","0","0","0"
"10","alter","alter","altr-","他の","the,other,other of two","1-2r","0","0","0"
"11","altus","altus","alt-","深い、高い","deep,high,lofty,","1-2","0","0","0"
"12","amplus","amplus","ampl-","大きい、広い","large,spacious","1-2","0","0","0"
"13","amīcus","amīcus","amīc-","友好的な、友達の","friendly,friend","1-2","0","0","0"
"14","anglicus","anglicus","anglic-","英語、イギリス人","english","1-2","0","0","1"
"15","antīquus","antīquus","antīqu-","古代、昔、元","ancient,old time,former","1-2","0","0","0"
"16","anxius","anxius","anxi-","気になる、心配した","anxious","1-2","0","0","0"
"17","apertus","apertus","apert-","開いた","open","1-2","0","0","0"
"18","aptus","aptus","apt-","フィット、適切","fit,suitable","1-2","0","0","0"
"19","aridus","aridus","arid-","乾いた","dry","1-2","0","0","0"
"20","artus","artus","art-","狭い、近い、きつい","narrow,close,tight","1-2","0","0","0"
"21","ater","ater","atr-","暗い、黒い","black,dark","1-2r","0","0","0"
"22","attonitus","attonitus","attonit-","びっくりした、awestruck","astonished,awestruck","1-2","0","0","0"
"23","audāx","audāx","audāc-","大胆な、大胆、無謀な、勇敢な","bold,daring,reckless,brave","3s","0","0","0"
