30000,"abolicjonista","abolicjonista","abolicjonist-",廃止主義者,abolitionist,Masculine-Animate,1,0,0,0
30001,"Azor","Azor","Azor-",アゾール,Azor,Masculine-Animate,2,0,0,0
30002,"miśki","miśki","miśk-",テディベア,teddy bears,Masculine-Animate,2k,1,0,0
30003,"psotniki","psotniki","psotnik-",トリック,tricks,Masculine-Animate,2k,1,0,0
30004,"psy","psy","ps-",犬,dogs,Masculine-Animate,2,1,0,0
30005,"trojaczki","trojaczki","trojaczk-",トリプレット,triplets,Masculine-Animate,2k,1,0,0
30006,"trojaki","trojaki","trojak-",三つ折り,threefold,Masculine-Animate,2k,1,0,0
30007,"abecadlarz","abecadlarz","abecadlarz-",アルファベット,alphabet,Masculine-Animate,2p1,0,0,0
30008,"abecedariusz","abecedariusz","abecedariusz-",アルファベット,alphabet,Masculine-Animate,2p1,0,0,0
30009,"abisobiont","abisobiont","abisobiont-",アビソビオント,abisobiont,Masculine-Animate,2,0,0,0
30010,"abisofil","abisofil","abisofil-",異好性,abisophilic,Masculine-Animate,2p,0,0,0
30011,"ablegierek","ablegierek","ablegierk-",ラッパー,wrappers,Masculine-Animate,2k,0,0,0
30012,"acydofil","acydofil","acydofil-",アシドフィル,acidophil,Masculine-Animate,2p,0,0,0
30013,"aerob","aerob","aerob-",エアロブ,aerob,Masculine-Animate,2,0,0,0
30014,"aerobiont","aerobiont","aerobiont-",エアロビオント,aerobiont,Masculine-Animate,2,0,0,0
30015,"afryt","afryt","afryt-",アフリット,afrit,Masculine-Animate,2,0,0,0
30016,"akustyk","akustyk","akustyk-",音響学者,acoustician,Masculine-Animate,2k,0,0,0
30017,"al","al","al-",アル,al,Masculine-Animate,2p,0,0,0
30018,"albatros","albatros","albatros-",アルバトロス,albatross,Masculine-Animate,2,0,0,0
30019,"albinos","albinos","albinos-",アルビノ,albino,Masculine-Animate,2,0,0,0
30020,"alczyk","alczyk","alczyk-",小さな女の子,little little girl,Masculine-Animate,2k,0,0,0
30021,"Aldebaran","Aldebaran","Aldebaran-",アルデバラン,Aldebaran,Masculine-Animate,2,0,0,0
30022,"aligator","aligator","aligator-",アリゲーター,alligator,Masculine-Animate,2,0,0,0
30023,"altannik","altannik","altannik-",ガゼボ,gazebo,Masculine-Animate,2k,0,0,0
30024,"amonit","amonit","amonit-",アンモナイト,ammonite,Masculine-Animate,2,0,0,0
30025,"amorek","amorek","amork-",キューピッド,cupid,Masculine-Animate,2k,0,0,0
30026,"anaerob","anaerob","anaerob-",アナエロベ,anaerobe,Masculine-Animate,2,0,0,0
30027,"anaerobiont","anaerobiont","anaerobiont-",anaerobiont,anaerobiont,Masculine-Animate,2,0,0,0
30028,"android","android","android-",アンドロイド,android,Masculine-Animate,2,0,0,0
30029,"angol","angol","angol-",アンゴル,angol,Masculine-Animate,2p,0,0,0
30030,"anioł","anioł","anioł-",天使,angel,Masculine-Animate,2,0,0,0
30031,"aniołeczek","aniołeczek","aniołeczk-",ケルブ,cherub,Masculine-Animate,2k,0,0,0
30032,"aniołek","aniołek","aniołk-",天使,Angel,Masculine-Animate,2k,0,0,0
30033,"anoksybiont","anoksybiont","anoksybiont-",アノキシビオンテ,anoxybionte,Masculine-Animate,2,0,0,0
30034,"Antares","Antares","Antares-",アンタレス,Antares,Masculine-Animate,2,0,0,0
30035,"antek","antek","antk-",antek,antek,Masculine-Animate,2k,0,0,0
30036,"antropoid","antropoid","antropoid-",類人猿,anthropoid,Masculine-Animate,2,0,0,0
30037,"aporter","aporter","aporter-",リトリーバー,retriever,Masculine-Animate,2,0,0,0
30038,"arbuz","arbuz","arbuz-",スイカ,watermelon,Masculine-Animate,2,0,0,0
30039,"archanioł","archanioł","archanioł-",大天使,archangel,Masculine-Animate,2,0,0,0
30040,"arden","arden","arden-",アーデン,arden,Masculine-Animate,2,0,0,0
30041,"argonauta","argonauta","argonaut-",Argonaut,Argonaut,Masculine-Animate,1,0,0,0
30042,"argus","argus","argus-",アーガス,Argus,Masculine-Animate,2,0,0,0
30043,"as","as","as-",なので,as,Masculine-Animate,2,0,0,0
30044,"asparagus","asparagus","asparagus-",アスパラガス,asparagus,Masculine-Animate,2,0,0,0
30045,"atlant","atlant","atlant-",アトラス,atlas,Masculine-Animate,2,0,0,0
30046,"atraks","atraks","atraks-",アトラクション,attraction,Masculine-Animate,2,0,0,0
30047,"autopilot","autopilot","autopilot-",自動操縦,autopilot,Masculine-Animate,2,0,0,0
30048,"awatar","awatar","awatar-",アバター,avatar,Masculine-Animate,2,0,0,0
30049,"azotobakter","azotobakter","azotobakter-",ニトロバクテリア,nitrobacteria,Masculine-Animate,2,0,0,0
30050,"azylant","azylant","azylant-",亡命希望者,asylum seeker,Masculine-Animate,2,0,0,0
30051,"babol","babol","babol-",バボル,babol,Masculine-Animate,2p,0,0,0
30052,"babon","babon","babon-",バボン,babon,Masculine-Animate,2,0,0,0
30053,"babuin","babuin","babuin-",バブイン,babuin,Masculine-Animate,2,0,0,0
30054,"babus","babus","babus-",ババス,babus,Masculine-Animate,2,0,0,0
30055,"bachmacik","bachmacik","bachmacik-",bachmacik,bachmacik,Masculine-Animate,2k,0,0,0
30056,"bachmat","bachmat","bachmat-",バッハマット,bachmat,Masculine-Animate,2,0,0,0
30057,"bachor","bachor","bachor-",ガキ,brat,Masculine-Animate,2,0,0,0
30058,"bachorek","bachorek","bachork-",バコレク,bachorek,Masculine-Animate,2k,0,0,0
30059,"bachur","bachur","bachur-",ガキ,brat,Masculine-Animate,2,0,0,0
30060,"bachurek","bachurek","bachurk-",バチュレック,bachurek,Masculine-Animate,2k,0,0,0
30061,"badminton","badminton","badminton-",バドミントン,badminton,Masculine-Animate,2,0,0,0
30062,"badyl","badyl","badyl-",茎,stalk,Masculine-Animate,2p,0,0,0
30063,"badylarz","badylarz","badylarz-",八百屋,greengrocer,Masculine-Animate,2p1,0,0,0
30064,"bagiennik","bagiennik","bagiennik-",湿地,marsh,Masculine-Animate,2k,0,0,0
30065,"bakcyl","bakcyl","bakcyl-",バチルス,bacillus,Masculine-Animate,2p,0,0,0
30066,"baks","baks","baks-",baks,baks,Masculine-Animate,2,0,0,0
30067,"bakteriofag","bakteriofag","bakteriofag-",バクテリオファージ,bacteriophage,Masculine-Animate,2k,0,0,0
30068,"bakteroid","bakteroid","bakteroid-",バクテリア,bacteroid,Masculine-Animate,2,0,0,0
30069,"baktrian","baktrian","baktrian-",バクトリアン,baktrian,Masculine-Animate,2,0,0,0
30070,"bakłażan","bakłażan","bakłażan-",ナス,eggplant,Masculine-Animate,2,0,0,0
30071,"balsamodrzew","balsamodrzew","balsamodrzew-",balsamlarch,balsamlarch,Masculine-Animate,2,0,0,0
30072,"bambosz","bambosz","bambosz-",カーペットスリッパ,carpet slipper,Masculine-Animate,2p1,0,0,0
30073,"bambus","bambus","bambus-",竹,bamboo,Masculine-Animate,2,0,0,0
30074,"ban","ban","ban-",禁止,ban,Masculine-Animate,2,0,0,0
30075,"banan","banan","banan-",バナナ,banana,Masculine-Animate,2,0,0,0
30076,"bananojad","bananojad","bananojad-",バナナイーター,banana eater,Masculine-Animate,2,0,0,0
30077,"bananowiec","bananowiec","bananowc-",バナナの木,Banana tree,Masculine-Animate,2p1,0,0,0
30078,"bandzior","bandzior","bandzior-",凶悪犯,thug,Masculine-Animate,2,0,0,0
30079,"Baran","Baran","Baran-",アリエス,Aries,Masculine-Animate,2,0,0,0
30080,"baran","baran","baran-",アリエス,Aries,Masculine-Animate,2,0,0,0
30081,"baraneczek","baraneczek","baraneczk-",子羊,lamb,Masculine-Animate,2k,0,0,0
30082,"baranek","baranek","barank-",子羊,lamb,Masculine-Animate,2k,0,0,0
30083,"barciak","barciak","barciak-",納屋,barnyard,Masculine-Animate,2k,0,0,0
30084,"barciel","barciel","barciel-",バルシエル,barciel,Masculine-Animate,2p,0,0,0
30085,"bargiel","bargiel","bargiel-",バーゲル,bargel,Masculine-Animate,2p,0,0,0
30086,"bargieł","bargieł","bargieł-",bargieł,bargieł,Masculine-Animate,2,0,0,0
30087,"barglik","barglik","barglik-",バーグラス,barglass,Masculine-Animate,2k,0,0,0
30088,"baribal","baribal","baribal-",バリバル,baribal,Masculine-Animate,2p,0,0,0
30089,"barwinek","barwinek","barwink-",ツルニチニチソウ,periwinkle,Masculine-Animate,2k,0,0,0
30090,"baryłkarz","baryłkarz","baryłkarz-",バレルメーカー,barrel maker,Masculine-Animate,2p1,0,0,0
30091,"barón","barón","baron-",男爵,baron,Masculine-Animate,2,0,0,0
30092,"basior","basior","basior-",基礎,basior,Masculine-Animate,2,0,0,0
30093,"bastard","bastard","bastard-",子なし,bastard,Masculine-Animate,2,0,0,0
30094,"batalion","batalion","batalion-",ラフ,ruff,Masculine-Animate,2,0,0,0
30095,"batalionik","batalionik","batalionik-",battalionic,battalionic,Masculine-Animate,2k,0,0,0
30096,"batat","batat","batat-",スイートポテト,sweet potato,Masculine-Animate,2,0,0,0
30097,"baton","baton","baton-",バー,bar,Masculine-Animate,2,0,0,0
30098,"batonik","batonik","batonik-",キャンディーバー,candy bar,Masculine-Animate,2k,0,0,0
30099,"bawolik","bawolik","bawolik-",バッファロー,buffalo,Masculine-Animate,2k,0,0,0
30100,"bawół","bawół","bawoł-",バッファロー,buffalo,Masculine-Animate,2p1,0,0,0
30101,"bazyliszek","bazyliszek","bazyliszk-",バシリスク,basilisk,Masculine-Animate,2k,0,0,0
30102,"bałwan","bałwan","bałwan-",雪だるま,snowman,Masculine-Animate,2,0,0,0
30103,"bałwanek","bałwanek","bałwank-",雪だるま,snowman,Masculine-Animate,2k,0,0,0
30104,"bażancik","bażancik","bażancik-",キジ,pheasant,Masculine-Animate,2k,0,0,0
30105,"bażant","bażant","bażant-",キジ,pheasant,Masculine-Animate,2,0,0,0
30106,"beadek","beadek","beadk-",ビーズク,beadek,Masculine-Animate,2k,0,0,0
30107,"bean","bean","bean-",豆,bean,Masculine-Animate,2,0,0,0
30108,"bedek","bedek","bedk-",ベッド,bed,Masculine-Animate,2k,0,0,0
30109,"befsztyk","befsztyk","befsztyk-",ステーキ,steak,Masculine-Animate,2k,0,0,0
30110,"bejsbol","bejsbol","bejsbol-",野球,baseball,Masculine-Animate,2p,0,0,0
30111,"bek","bek","bk-",げっぷ,burp,Masculine-Animate,2k,0,0,0
30112,"bek","bek","bk-",げっぷ,burp,Masculine-Animate,2k,0,0,0
30113,"bek","bek","bk-",げっぷ,burp,Masculine-Animate,2k,0,0,0
30114,"bekwarek","bekwarek","bekwark-",ベーコン,bacon,Masculine-Animate,2k,0,0,0
30115,"belemnit","belemnit","belemnit-",ベレムナイト,belemnite,Masculine-Animate,2,0,0,0
30116,"beniaminek","beniaminek","beniamink-",ダーリン,darling,Masculine-Animate,2k,0,0,0
30117,"berbeć","berbeć","berbeć-",幼児,toddler,Masculine-Animate,2p,0,0,0
30118,"berek","berek","berk-",鬼ごっこ,tag,Masculine-Animate,2k,0,0,0
30119,"berkszyr","berkszyr","berkszyr-",berkszyr,berkszyr,Masculine-Animate,2,0,0,0
30120,"bernardyn","bernardyn","bernardyn-",セントバーナード,St. Bernard,Masculine-Animate,2,0,0,0
30121,"bezgrzebieniowiec","bezgrzebieniowiec","bezgrzebieniowc-",ラットレス,ratless,Masculine-Animate,2p1,0,0,0
30122,"bezjamowiec","bezjamowiec","bezjamowc-",洞窟のない,caveless,Masculine-Animate,2p1,0,0,0
30123,"bezkręgowiec","bezkręgowiec","bezkręgowc-",無脊椎動物,invertebrate,Masculine-Animate,2p1,0,0,0
30124,"bezlotek","bezlotek","bezlotk-",ペンギン,penguin,Masculine-Animate,2k,0,0,0
30125,"bezogonowiec","bezogonowiec","bezogonowc-",テールレス,tailless,Masculine-Animate,2p1,0,0,0
30126,"bezowodniowiec","bezowodniowiec","bezowodniowc-",ノーボート,no-boat,Masculine-Animate,2p1,0,0,0
30127,"bezzałogowiec","bezzałogowiec","bezzałogowc-",無人航空機,unmanned aerial vehicle,Masculine-Animate,2p1,0,0,0
30128,"bezłożyskowiec","bezłożyskowiec","bezłożyskowc-",ベアリングレス,bearingless,Masculine-Animate,2p1,0,0,0
30129,"bełt","bełt","bełt-",喧嘩,quarrel,Masculine-Animate,2,0,0,0
30130,"białek","białek","białk-",タンパク質,proteins,Masculine-Animate,2k,0,0,0
30131,"białobrzuch","białobrzuch","białobrzuch-",愛されし者,beloved,Masculine-Animate,2k,0,0,0
30132,"białopiór","białopiór","białopior-",白い羽,white feather,Masculine-Animate,2,0,0,0
30133,"białosęp","białosęp","białosęp-",白いハゲタカ,white vulture,Masculine-Animate,2,0,0,0
30134,"białozór","białozór","białozor-",ガーファルコン,gerfalcon,Masculine-Animate,2,0,0,0
30135,"biczogon","biczogon","biczogon-",Uromastyx,Uromastyx,Masculine-Animate,2,0,0,0
30136,"biedrzeniec","biedrzeniec","biedrzenc-",かわいそうな男,the poor man,Masculine-Animate,2p1,0,0,0
30137,"biegacz","biegacz","biegacz-",ランナー,runner,Masculine-Animate,2p1,0,0,0
30138,"biegun","biegun","biegun-",ポール,pole,Masculine-Animate,2,0,0,0
30139,"biegus","biegus","biegus-",ランナー,runner,Masculine-Animate,2,0,0,0
30140,"bielak","bielak","bielak-",Bielak,Bielak,Masculine-Animate,2k,0,0,0
30141,"bielik","bielik","bielik-",ホワイトテールイーグル,white-tailed eagle,Masculine-Animate,2k,0,0,0
30142,"bielinek","bielinek","bielink-",Bielinek,Bielinek,Masculine-Animate,2k,0,0,0
30143,"bielmik","bielmik","bielmik-",ふくれっ面,pout,Masculine-Animate,2k,0,0,0
30144,"bielojad","bielojad","bielojad-",ホワイトイーター,white-eater,Masculine-Animate,2,0,0,0
30145,"bierkowiec","bierkowiec","bierkowc-",bierkowiec,bierkowiec,Masculine-Animate,2p1,0,0,0
30146,"bies","bies","bies-",悪魔,devil,Masculine-Animate,2,0,0,0
30147,"bizon","bizon","bizon-",バイソン,bison,Masculine-Animate,2,0,0,0
30148,"blachosmród","blachosmród","blachosmród-",板金,sheet metal,Masculine-Animate,2,0,0,0
30149,"bliźniak","bliźniak","bliźniak-",ツイン,twin,Masculine-Animate,2k,0,0,0
30150,"bobak","bobak","bobak-",ビーバー,the beaver,Masculine-Animate,2k,0,0,0
30151,"bobyrec","bobyrec","bobyrec-",bobyrec,bobyrec,Masculine-Animate,2p1,0,0,0
30152,"bocan","bocan","bocan-",コウノトリ,stork,Masculine-Animate,2,0,0,0
30153,"bocian","bocian","bocian-",コウノトリ,stork,Masculine-Animate,2,0,0,0
30154,"bociek","bociek","bocik-",コウノトリ,stork,Masculine-Animate,2k,0,0,0
30155,"bocion","bocion","bocion-",コウノトリ,stork,Masculine-Animate,2,0,0,0
30156,"bociun","bociun","bociun-",コウノトリ,stork,Masculine-Animate,2,0,0,0
30157,"bociąg","bociąg","bociąg-",群衆,crowds,Masculine-Animate,2k,0,0,0
30158,"bocon","bocon","bocon-",ローフ,loaf,Masculine-Animate,2,0,0,0
30159,"bocoń","bocoń","bocoń-",ローフ,loaf,Masculine-Animate,2p,0,0,0
30160,"boczoń","boczoń","boczoń-",ベーコン,bacon,Masculine-Animate,2p,0,0,0
30161,"bojowiec","bojowiec","bojowc-",戦士,fighter,Masculine-Animate,2p1,0,0,0
30162,"bojownik","bojownik","bojownik-",戦士,fighter,Masculine-Animate,2k,0,0,0
30163,"bokser","bokser","bokser-",ボクサー,boxer,Masculine-Animate,2,0,0,0
30164,"boleń","boleń","boleń-",asp,asp,Masculine-Animate,2p,0,0,0
30165,"bolończyk","bolończyk","bolończyk-",ボロネーゼ,Bolognese,Masculine-Animate,2k,0,0,0
30166,"borodziej","borodziej","borodziej-",borodziej,borodziej,Masculine-Animate,2p,0,0,0
30167,"borowiak","borowiak","borowiak-",ボロウィアック,borowiak,Masculine-Animate,2k,0,0,0
30168,"borowiec","borowiec","borowc-",キノコ,mushroom,Masculine-Animate,2p1,0,0,0
30169,"borowik","borowik","borowik-",boletus,boletus,Masculine-Animate,2k,0,0,0
30170,"borsuk","borsuk","borsuk-",狸,badger,Masculine-Animate,2k,0,0,0
30171,"boruta","boruta","borut-",ボルタ,boruta,Masculine-Animate,1,0,0,0
