"1","absilio",absili,absiliīre,absilu,absilutus,飛び去る,leap away,4,0,0,0,0,0
"2","adaperio",adaperi,adaperiīre,adaperu,adapertus,開く,open,4,0,0,0,0,0
"3","adoperio",adoperi,adoperiīre,adoperu,adopertus,隠ぺいする,cover up,4,0,0,0,0,0
"4","amicio",amici,amiciīre,amicu,amictus,友情,friendship,4,0,0,0,0,0
"5","aperio",aperi,aperiīre,aperu,apertus,開いた,open,4,0,0,0,0,0
"6","assilio",assili,assiliīre,assilu,assilutus,刈り取る、急ぐ,"reap, rush",4,0,0,0,0,0
"7","circumsilio",circumsili,circumsiliīre,circumsilu,circumsilutus,飛び回る,jumping around,4,0,0,0,0,0
"8","cooperio",cooperi,cooperiīre,cooperu,coopertus,カバー,cover,4,0,0,0,0,0
"9","desilio",desili,desiliīre,desilu,desilutus,飛び込む,jump in,4,0,0,0,0,0
"10","discooperio",discooperi,discooperiīre,discooperu,discoopertus,明らかにする,uncover,4,0,0,0,0,0
"11","discoperio",discoperi,discoperiīre,discoperu,discopertus,明らかにする,uncover,4,0,0,0,0,0
"12","dissilio",dissili,dissiliīre,dissilu,dissilutus,爆発する,to burst out,4,0,0,0,0,0
"13","exilio",exili,exiliīre,exilu,exilutus,亡命,exile,4,0,0,0,0,0
"14","exsilio",exsili,exsiliīre,exsilu,exsilutus,亡命,exile,4,0,0,0,0,0
"15","insilio",insili,insiliīre,insilu,insilutus,飛び込む,jump in,4,0,0,0,0,0
"16","operio",operi,operiīre,operu,opertus,カバー,cover,4,0,0,0,0,0
"17","persilio",persili,persiliīre,persilu,persilutus,デザイン,plan,4,0,0,0,0,0
"18","prosilio",prosili,prosiliīre,prosilu,prosilutus,飛躍する,leap,4,0,0,0,0,0
"19","resilio",resili,resiliīre,resilu,resilutus,リバウンド,rebound,4,0,0,0,0,0
"20","salio",sali,saliīre,salu,salutus,ジャンピング,jumping,4,0,0,0,0,0
"21","sario",sari,sariīre,saru,sartus,必要な,necessarily,4,0,0,0,0,0
"22","sarrio",sarri,sarriīre,sarru,sarrtus,鍬,hoe,4,0,0,0,0,0
"23","subsilio",subsili,subsiliīre,subsilu,subsilutus,飛躍,leap,4,0,0,0,0,0
"24","transilio",transili,transiliīre,transilu,transilutus,飛び越します,leap over,4,0,0,0,0,0
