"1","aṃhas","988118",,"1456","20210426075315"
"2","aṅkas","1198641",,"890","20210426070432"
"3","aṅgiras","5778807",,"273","20190526002429"
"4","añjas","6277021",,"691","20220112185248"
"5","anas","4927442",,"653","20200807050140"
"6","andhas","6156763",,"1421","20210907011717"
"7","apas","8197143",,"506","20211107060842"
"8","apsaras","6654125",,"683","20220419035424"
"9","apsas","7139501",,"766","20220109153816"
"10","amanas","7923200",,"695","20210116160654"
"11","ayas","902035",,"1385","20220512023121"
"12","arśas","6278995",,"1058","20220524010030"
"13","āgas","1074522",,"1023","20211230091840"
"14","iras","6886505",,"328","20200905171039"
"15","uṣas","1097738",,"2321","20220322134517"
"16","ūdhas","1076627",,"812","20210226080635"
"17","edhas","6334120",,"828","20201019030405"
"18","enas","7145854",,"496","20220329171754"
"19","okas","7246057",,"380","20210426070534"
"20","ojas","6008271",,"1117","20210426070535"
"21","kaṇṭhya","6263158",,"1238","20190816032127"
"22","kariyādas","7840766",,"288","20201110094433"
"23","kṛṣṇāyas","6635510",,"325","20191017020706"
"24","krandas","7345039",,"345","20220101030900"
"25","kṣodas","6966223",,"402","20210426070607"
"26","canas","7189414",,"339","20210426070653"
"27","candramas","7773507",,"316","20210402062458"
"28","cetas","953375",,"2379","20210426070655"
"29","chandas","1096393",,"618","20201103153117"
"30","jaṃhas","7625309",,"273","20200908230849"
"31","janas","1100610",,"1259","20210426070659"
"32","javas","7143682",,"222","20190316035102"
"33","juvas","7139404",,"886","20211202140225"
"34","jrayas","6109422",,"812","20210929021753"
"35","tanas","6832871",,"454","20210426070734"
"36","tapas","1090748",,"788","20210131131220"
"37","tamas","1090742",,"1642","20210608151854"
"38","taras","8582751",,"1883","20220125093246"
"39","tavas","7146645",,"589","20210426070743"
"40","tejas","3126025",,"904","20210603182648"
"41","tyajas","6634360",,"536","20210426070756"
"42","tveṣas","7146610",,"184","20210426070802"
"43","durmanas","7888127",,"832","20210303040107"
"44","duvas","7138696",,"404","20200607063332"
"45","dohas","8731569",,"399","20220407105445"
"46","dveṣas","6753438",,"456","20210426070826"
"47","nabhas","937478",,"1249","20211206135339"
"48","namas","1071583",,"2692","20220516124813"
"49","payas","953360",,"1207","20220110160625"
"50","pasas","922574",,"984","20210923191139"
"51","pāthas","8535287",,"2056","20211231200436"
"52","pīvas","972942",,"236","20220513040339"
"53","puvas","7623860",,"473","20220216195810"
"54","prathas","1170465",,"438","20210426070911"
"55","psaras","7139010",,"195","20200905214941"
"56","psuras","7139011",,"178","20200905214944"
"57","bharas","7354681",,"195","20220101061047"
"58","bhargas","8197918",,"1020","20220204142435"
"59","majjas","7345409",,"232","20191221230331"
"60","manas","481875",,"3489","20211228082558"
"61","mayas","7694736",,"462","20210426071038"
"62","mahas","6905721",,"879","20220410093639"
"63","mahīrajas","8202702",,"519","20210810060141"
"64","medas","972945",,"1478","20210419120814"
"65","yajas","7139089",,"183","20190312022333"
"66","yaśas","6541692",,"1837","20211031133507"
"67","yahas","7139185",,"190","20200908072257"
"68","yādas","7829569",,"492","20201030064404"
"69","yogas","7138927",,"498","20200908072229"
"70","raṃhas","8553412",,"3446","20220501134930"
"71","rakṣas","7822721",,"1181","20210514034426"
"72","rajas","1795964",,"772","20210613001204"
"73","rapas","7146337",,"299","20210608221613"
"74","rabhas","7146338",,"478","20200606220910"
"75","rahas","7145550",,"941","20200908072623"
"76","rādhas","7146436",,"478","20210604085915"
"77","rekṇas","6560253",,"536","20210426071159"
"78","retas","7343379",,"574","20210711225636"
"79","repas","7146310",,"677","20200411143535"
"80","rocas","6422737",,"692","20210911191211"
"81","vakṣas","7158731",,"493","20210426071204"
"82","vacas","6639097",,"381","20220407175329"
"83","vanas","6095740",,"741","20210327152249"
"84","vayas","8180272",,"1382","20220412131244"
"85","varas","7739341",,"382","20210426071217"
"86","varcas","7146347",,"421","20200908072726"
"87","varpas","7130318",,"645","20220302024726"
"88","vidvas","7776664",,"2121","20211013024318"
"89","vedas","7345140",,"421","20220516144443"
"90","śaras","7145682",,"271","20200908072639"
"91","śavas","7145613",,"533","20220111204129"
"92","śiras","901962",,"1472","20220606001534"
"93","śepas","7145349",,"516","20200607052715"
"94","śephas","7145353",,"499","20190322071500"
"95","śravas","4160414",,"1453","20211214172142"
"96","śreyas","6253246",,"748","20190508041613"
"97","sadas","6570631",,"605","20210111111540"
"98","saras","6113383",,"1109","20220202112059"
"99","sahas","6451960",,"912","20220603152427"
"100","srotas","6472197",,"1061","20220219141730"
"101","haras","6325683",,"436","20210426071625"
"102","heṣas","6393647",,"522","20191016054805"
