"189","διαλέγω",λέγ,λεξ,δια,0,1,選ぶ、集める、選ぶ、選別する,"to choose, to gather, to pick out, to select",0,0,0,0,0,0
"374","καταλέγω",λέγ,λεξ,κατα,0,1,選ぶ、選ぶ、徴収する、入隊する、登録する、告げる、数える、数え直す、計算する、敷設する,"to pick out, to choose out of, to levy, to enlist, to enrol, to tell up, to count up, to recount, to reckon up, to lay down",0,0,0,0,0,0
"490","λέγω",λέγ,λεξ,,0,1,並べる、並べる、集める、選ぶ、数える、計算する、言う、話す、呼ぶ、名前を付ける,"to put in order, to arrange, to gather, to choose, to count, to reckon, to say, to speak, to call, to name",0,0,0,0,0,0
"856","προλέγω",λέγ,λεξ,προ,0,1,選ぶ、他の人より先に選ぶ、優先する、予言する、事前に発表する、予測する、公に述べる、宣言する、発表する、誰かに何かをするように命じる、警告する、警告する、非難する,"to pick out, to choose before others, to prefer, to foretell, to announce to beforehand, to predict, to state publicly, to proclaim, to announce, to order someone to do something, to caution, to warn, to denounce",0,0,0,0,0,0
"1010","συλλέγω",λέγ,λεξ,συλ,0,1,集める、集う、集う、集う、集う、集める、徴集する,"to gather, to collect, to bring together, to call together, to raise, to levy",0,0,0,0,0,0
"1140","φλέγω",φλέγ,φλεξ,,0,1,火をつける、燃やす、焦がす、燃やす、刺激する、燃え上がらせる,"to set on fire, to burn, to scorch, to kindle, to arouse, to inflame",0,0,0,0,1,0
"1243","ἀλέγω",ἀλέγ,ἀλεξ,,0,1,気にする,"to care",0,0,0,1,1,1
"1275","ἀμφιλέγω",λέγ,λεξ,ἀμφι,0,1,異議を唱える、疑問を呈する、疑問を呈する、2 つの視点で論争する,"to dispute, to question, to doubt, to argue with two viewpoints",0,0,0,0,0,0
"1302","ἀναλέγω",λέγ,λεξ,ἀνα,0,1,拾う、集める,"to pick up, to gather up",0,0,0,0,0,0
"1339","ἀντιλέγω",λέγ,λεξ,ἀντι,0,1,反論する、反論する、反論する、反論する、反論する、反論する,"to gainsay, to contradict, to answer, to reply, to speak against, to argue against, to allege, to deny, dispute, to counterclaim",0,0,0,0,0,0
"1420","ἀπολέγω",λέγ,λεξ,ἀπο,0,1,選ぶ、選ぶ、辞退する、拒否する,"to pick out from, to choose, to decline, to refuse",0,0,0,0,0,0
"1619","ἐκλέγω",λέγ,λεξ,ἐκ,0,1,選ぶ、選び出す、選ぶ、税金を徴収する、貢ぎ物を徴収する,"to pick out, to single out, to choose, to levy taxes, to levy tribute",0,0,0,0,0,0
"1745","ἐπιλέγω",λέγ,λεξ,ἐπι,0,1,さらに言う、さらに追加する、名前で呼ぶ、選択する、選ぶ、選択する、読む、熟考する、検討する,"to say in addition, to add further, to call by name, to choose, to pick out, to select, to read, to think over, to consider",0,0,0,0,0,0
