"1341","ἀρή","ἀρ",Feminine,1e,3月,,,,
"162","γᾶ","γ",Feminine,1a,c,,,,
"1578","ἰωκή","ἰωκ",Feminine,1e,ἰοκι,,,,
"1605","ὀλιγανθρωπία","ὀλιγανθρωπί",Feminine,1a,ὀliganthropy,,,,
"1601","ὀδοντάγρα","ὀδοντάγρ",Feminine,1a,ὀodontagra,,,,
"1066","τόλμα","τόλμ",Feminine,1a,あえて,,,,
"1410","ἄκαινα","ἄκαιν",Feminine,1a,あかいな,,,,
"1219","ἀκή","ἀκ",Feminine,1e,あき,,,,
"1269","ἀμόργη","ἀμόργ",Feminine,1e,ありがたい,,,,
"460","κρεάγρα","κρεάγρ",Feminine,1a,いいね,,,,
"363","κακοποιία","κακοποιί",Feminine,1a,いたずら,,,,
"1218","ἀθυμία","ἀθυμί",Feminine,1a,うつ,,,,
"1714","ῥιπή","ῥιπ",Feminine,1e,うま,,,,
"1135","χαίτα","χαίτ",Feminine,1a,おい,,,,
"102","βοῦα","βοῦ",Feminine,1a,おお,wow,,,
"648","νάπη","νάπ",Feminine,1e,おむつ,,,,
"1100","φιλοξενία","φιλοξενί",Feminine,1a,おもてなし,,,,
"1647","ὄα","ὄ",Feminine,1a,おー,,,,
"715","πάτρη","πάτρ",Feminine,1e,お父さん,,,,
"297","ζῳγραφία","ζῳγραφί",Feminine,1a,お絵かき,,,,
"830","προξενία","προξενί",Feminine,1a,お見合い,,,,
"943","σπονδή","σπονδ",Feminine,1e,お酒,,,,
"436","κολοκύνθη","κολοκύνθ",Feminine,1e,かぼちゃ,,,,
"687","ξυνθήκη","ξυνθήκ",Feminine,1e,かみそりケース,,,,
"689","ξυροθήκη","ξυροθήκ",Feminine,1e,かみそりケース,,,,
"385","καρύκη","καρύκ",Feminine,1e,かりけ,,,,
"849","πτυχή","πτυχ",Feminine,1e,くしゃくしゃ,,,,
"106","βρίμη","βρίμ",Feminine,1e,くそ,damn,,,
"915","σκαπέρδα","σκαπέρδ",Feminine,1a,くだらない,,,,
"1179","ψωλή","ψωλ",Feminine,1e,くちばし,,,,
"454","κούρη","κούρ",Feminine,1e,くり,,,,
"760","παροιμία","παροιμί",Feminine,1a,ことわざ,,,,
"1528","ἑορτή","ἑορτ",Feminine,1e,ごちそう,,,,
"444","κοπροθήκη","κοπροθήκ",Feminine,1e,ごみ箱,,,,
"679","ξυγγνώμη","ξυγγνώμ",Feminine,1e,ごめん,,,,
"1654","ὄρυζα","ὄρυζ",Feminine,1a,ご飯,,,,
"463","κρεοστάθμη","κρεοστάθμ",Feminine,1e,しきい値,,,,
"705","οὐρά","οὐρ",Feminine,1a,しっぽ,,,,
"492","λάλη","λάλ",Feminine,1e,せせらぎ,,,,
"1415","ἄμαλλα","ἄμαλλ",Feminine,1a,そうでもなければ,,,,
"1409","ἄελλα","ἄελλ",Feminine,1a,その他,,,,
"1422","ἄση","ἄσ",Feminine,1e,それで,,,,
"300","θάλαττα","θάλαττ",Feminine,1a,それは正しい,,,,
"1136","χαίτη","χαίτ",Feminine,1e,たてがみ,,,,
"749","παραβολή","παραβολ",Feminine,1e,たとえ話,,,,
"526","λεκάνη","λεκάν",Feminine,1e,たらい,,,,
"1625","ὀρθογραφία","ὀρθογραφί",Feminine,1a,つづり,,,,
"459","κραιπάλη","κραιπάλ",Feminine,1e,でたらめ,,,,
"1211","ἀδάρκη","ἀδάρκ",Feminine,1e,とげのない,,,,
"1412","ἄκορνα","ἄκορν",Feminine,1a,どんぐり,,,,
"647","νάκη","νάκ",Feminine,1e,なけ,,,,
"1254","ἀμία","ἀμί",Feminine,1a,なし,,,,
"838","προσωποποιία","προσωποποιί",Feminine,1a,なりすまし,,,,
"1631","ὀσμή","ὀσμ",Feminine,1e,におい,,,,
"1223","ἀκμή","ἀκμ",Feminine,1e,にきび,,,,
"432","κολλύρα","κολλύρ",Feminine,1a,のり,,,,
"482","κόλλα","κόλλ",Feminine,1a,のり,,,,
"289","ζυγία","ζυγί",Feminine,1a,はかり,,,,
"54","βέργαι","βέργ",Feminine,1a,はしけ,,1,0,0
"196","διαλογή","διαλογ",Feminine,1e,ふるい分け,,,,
"484","κόνυζα","κόνυζ",Feminine,1a,ほこり,,,,
"326","θολία","θολί",Feminine,1a,ぼかし,,,,
"281","ζάλη","ζάλ",Feminine,1e,めまい,,,,
"926","σκοπιά","σκοπι",Feminine,1a,ものみの塔,,,,
"364","κακουργία","κακουργί",Feminine,1a,ゆすり,,,,
"899","σιγά","σιγ",Feminine,1a,ゆっくり,,,,
"468","κρόκη","κρόκ",Feminine,1e,よこ糸,,,,
"566","μήλη","μήλ",Feminine,1e,りんご,,,,
"1573","ἰυγή","ἰυγ",Feminine,1e,アイビー,,,,
"245","εἰρήνη","εἰρήν",Feminine,1e,アイリーン,,,,
"246","εἰρωνεία","εἰρωνεί",Feminine,1a,アイロニー,,,,
"618","μολόχη","μολόχ",Feminine,1e,アオイ科の植物,,,,
"134","γερροχελώνη","γερροχελών",Feminine,1e,アカウミガメ,loggerhead turtle,,,
"1220","ἀκακία","ἀκακί",Feminine,1a,アカシア,,,,
"1702","ῥάκτρια","ῥάκτρι",Feminine,1a,アクトリア,,,,
"1405","ἄγρα","ἄγρ",Feminine,1a,アグラ,,,,
"1307","ἀξίνη","ἀξίν",Feminine,1e,アシン,,,,
"1435","Ἀσιαρχία","Ἀσιαρχί",Feminine,1a,アジアアーキ,,,,
"1423","ἄσιλλα","ἄσιλλ",Feminine,1a,アジラ,,,,
"1363","ἀσκέρα","ἀσκέρ",Feminine,1a,アスケラ,,,,
"1365","ἀσκοπυτίνη","ἀσκοπυτίν",Feminine,1e,アスコピチン,,,,
"1424","ἄτη","ἄτ",Feminine,1e,アティ,,,,
"1436","Ἀτρυτώνη","Ἀτρυτών",Feminine,1e,アトリトーニ,,,,
"1289","ἀνεμώνη","ἀνεμών",Feminine,1e,アネモネ,,,,
"1389","ἀχάνη","ἀχάν",Feminine,1e,アハニ,,,,
"1314","ἀπαρίνη","ἀπαρίν",Feminine,1e,アパリン,,,,
"1383","ἀφία","ἀφί",Feminine,1a,アフィア,,,,
