"2500","Αἰγύπτιος",Αἰγύπτι,Masculine,2,,,0,1,1
"2501","Αἰτωλός",Αἰτωλ,Masculine,2,,,0,1,1
"2502","Αἴδουος",Αἴδου,Masculine,2,,,0,1,1
"2503","Βάκτριος",Βάκτρι,Masculine,2,,,0,1,1
"2504","Βακτριανός",Βακτριαν,Masculine,2,,,0,1,1
"2505","Βηρύτιος",Βηρύτι,Masculine,2,,,0,1,1
"2506","Βιθυνός",Βιθυν,Masculine,2,,,0,1,1
"2507","Βλάχος",Βλάχ,Masculine,2,,,0,1,1
"2508","Βοιωτός",Βοιωτ,Masculine,2,,,0,1,1
"2509","Βοσπορίτης",Βοσπορίτ,Masculine,1es,,,0,1,1
"2510","Βοττιαῖοι",Βοττιαῖ,Masculine,2,,,1,0,1
"2511","Βουδῖνοι",Βουδῖν,Masculine,2,,,1,0,1
"2512","Βρέττιος",Βρέττι,Masculine,2,,,0,1,1
"2513","Βρεττανός",Βρετταν,Masculine,2,,,0,1,1
"2514","Βρόγγος",Βρόγγ,Masculine,2,,,0,1,1
"2515","Βυσναῖοι",Βυσναῖ,Masculine,2,,,1,0,1
"2516","Γαδαρηνός",Γαδαρην,Masculine,2,,,0,1,1
"2517","Γαλάβριοι",Γαλάβρι,Masculine,2,,,1,0,1
"2518","Γανδάριοι",Γανδάρι,Masculine,2,,,1,0,1
"2519","Γερήνιος",Γερήνι,Masculine,2,,,0,1,1
"2520","Γερασηνοί",Γερασην,Masculine,2,,,1,0,1
"2521","Γερμανός",Γερμαν,Masculine,2,,,0,1,1
"2522","Γότθος",Γότθ,Masculine,2,,,0,1,1
"2523","Δάρδανος",Δάρδαν,Masculine,2,,,0,1,1
"2524","Δαναοί",Δανα,Masculine,2,,,1,0,1
"2525","Δελφός",Δελφ,Masculine,2,,,0,1,1
"2526","Δηρουσιαῖοι",Δηρουσιαῖ,Masculine,2,,,1,0,1
"2527","Δολογκός",Δολογκ,Masculine,2,,,0,1,1
"2528","Ζαλίσκος",Ζαλίσκ,Masculine,2,,,0,1,1
"2529","Θαμαναῖοι",Θαμαναῖ,Masculine,2,,,1,0,1
"2530","Θαψακηνός",Θαψακην,Masculine,2,,,0,1,1
"2531","Θεσπρωτός",Θεσπρωτ,Masculine,2,,,0,1,1
"2532","Θεσσαλός",Θεσσαλ,Masculine,2,,,0,1,1
"2533","Θεσσύριος",Θεσσύρι,Masculine,2,,,0,1,1
"2534","Θούριος",Θούρι,Masculine,2,,,0,1,1
"2535","Θυνός",Θυν,Masculine,2,,,0,1,1
"2536","Κέλυδνος",Κέλυδν,Masculine,2,,,0,1,1
"2537","Κένταυρος",Κένταυρ,Masculine,2,,,0,1,1
"2538","Κίμβρος",Κίμβρ,Masculine,2,,,0,1,1
"2539","Καβάλιοι",Καβάλι,Masculine,2,,,1,0,1
"2540","Καδούσιοι",Καδούσι,Masculine,2,,,1,0,1
"2541","Καληδόνιος",Καληδόνι,Masculine,2,,,0,1,1
"2542","Καρδοῦχος",Καρδοῦχ,Masculine,2,,,0,1,1
"2543","Κελτός",Κελτ,Masculine,2,,,0,1,1
"2544","Κιμμέριος",Κιμμέρι,Masculine,2,,,0,1,1
"2545","Κολχός",Κολχ,Masculine,2,,,0,1,1
"2546","Κυζικηνός",Κυζικην,Masculine,2,,,0,1,1
"2547","Κυνικός",Κυνικ,Masculine,2,,,0,1,1
"2548","Κυρηναῖος",Κυρηναῖ,Masculine,2,,,0,1,1
"2549","Κωκυτός",Κωκυτ,Masculine,2,,,0,1,1
"2550","Λάμος",Λάμ,Masculine,2,,,0,1,1
"2551","Λαγγοβάρδας",Λαγγοβάρδ,Masculine,1as,,,0,1,1
"2552","Λακεδαιμόνιος",Λακεδαιμόνι,Masculine,2,,,0,1,1
"2553","Λαμψακηνός",Λαμψακην,Masculine,2,,,0,1,1
"2554","Λατῖνος",Λατῖν,Masculine,2,,,0,1,1
"2555","Λεοντῖνος",Λεοντῖν,Masculine,2,,,0,1,1
"2556","Λευκάδιος",Λευκάδι,Masculine,2,,,0,1,1
"2557","Λευκανός",Λευκαν,Masculine,2,,,0,1,1
"2558","Λιβυρνός",Λιβυρν,Masculine,2,,,0,1,1
"2559","Λοκρός",Λοκρ,Masculine,2,,,0,1,1
"2560","Λυδός",Λυδ,Masculine,2,,,0,1,1
"2561","Λωτοφάγος",Λωτοφάγ,Masculine,2,,,0,1,1
"2562","Λύκιος",Λύκι,Masculine,2,,,0,1,1
"2563","Μάγος",Μάγ,Masculine,2,,,0,1,1
"2564","Μήλιος",Μήλι,Masculine,2,,,0,1,1
"2565","Μακκαβαῖος",Μακκαβαῖ,Masculine,2,,,0,1,1
"2566","Μαράφιοι",Μαράφι,Masculine,2,,,1,0,1
"2567","Μαρσός",Μαρσ,Masculine,2,,,0,1,1
"2568","Μαυρούσιος",Μαυρούσι,Masculine,2,,,0,1,1
"2569","Μεσσάπιος",Μεσσάπι,Masculine,2,,,0,1,1
"2570","Μεταποντῖνος",Μεταποντῖν,Masculine,2,,,0,1,1
"2571","Μεταπόντιος",Μεταπόντι,Masculine,2,,,0,1,1
"2572","Μιλήσιος",Μιλήσι,Masculine,2,,,0,1,1
"2573","Μολοσσός",Μολοσσ,Masculine,2,,,0,1,1
"2574","Μουγούλιος",Μουγούλι,Masculine,2,,,0,1,1
"2575","Μυκηναῖος",Μυκηναῖ,Masculine,2,,,0,1,1
"2576","Μυσός",Μυσ,Masculine,2,,,0,1,1
"2577","Μόναλος",Μόναλ,Masculine,2,,,0,1,1
