"Abchazka",Abchazka,Abchazk-,,,Feminine,1,,,1
"Abraszewska",Abraszewska,Abraszewsk-,,,Feminine,1,,,1
"Ada",Ada,Ad-,,,Feminine,1,,,1
"Adamska",Adamska,Adamsk-,,,Feminine,1,,,1
"Adelajda",Adelajda,Adelajd-,,,Feminine,1,,,1
"Adrianna",Adrianna,Adriann-,,,Feminine,1,,,1
"Afganka",Afganka,Afgank-,,,Feminine,1,,,1
"Afroamerykanka",Afroamerykanka,Afroamerykank-,,,Feminine,1,,,1
"Afrodyta",Afrodyta,Afrodyt-,,,Feminine,1,,,1
"Afryka",Afryka,Afryk-,,,Feminine,1,,,1
"Afrykanka",Afrykanka,Afrykank-,,,Feminine,1,,,1
"Aga",Aga,Ag-,,,Feminine,1,,,1
"Agacka",Agacka,Agack-,,,Feminine,1,,,1
"Agata",Agata,Agat-,,,Feminine,1,,,1
"Agatka",Agatka,Agatk-,,,Feminine,1,,,1
"Agnieszka",Agnieszka,Agnieszk-,,,Feminine,1,,,1
"Akra",Akra,Akr-,,,Feminine,1,,,1
"Al-Kaida",Al-Kaida,Al-Kaid-,,,Feminine,1,,,1
"Alabama",Alabama,Alabam-,,,Feminine,1,,,1
"Alaska",Alaska,Alask-,,,Feminine,1,,,1
"Albanka",Albanka,Albank-,,,Feminine,1,,,1
"Alberta",Alberta,Albert-,,,Feminine,1,,,1
"Albinowska",Albinowska,Albinowsk-,,,Feminine,1,,,1
"Aleksandra",Aleksandra,Aleksandr-,,,Feminine,1,,,1
"Algierka",Algierka,Algierk-,,,Feminine,1,,,1
"Almería",Almería,Almerí-,,,Feminine,1,,,1
"Amanda",Amanda,Amand-,,,Feminine,1,,,1
"Amazonka",Amazonka,Amazonk-,,,Feminine,1,,,1
"Ameryka",Ameryka,Ameryk-,,,Feminine,1,,,1
"Amerykanka",Amerykanka,Amerykank-,,,Feminine,1,,,1
"Andikitira",Andikitira,Andikitir-,,,Feminine,1,,,1
"Andora",Andora,Andor-,,,Feminine,1,,,1
"Andorka",Andorka,Andork-,,,Feminine,1,,,1
"Andrzejewska",Andrzejewska,Andrzejewsk-,,,Feminine,1,,,1
"Aneta",Aneta,Anet-,,,Feminine,1,,,1
"Angielka",Angielka,Angielk-,,,Feminine,1,,,1
"Anielka",Anielka,Anielk-,,,Feminine,1,,,1
"Anioła",Anioła,Anioł-,,,Feminine,1,,,1
"Anka",Anka,Ank-,,,Feminine,1,,,1
"Ankara",Ankara,Ankar-,,,Feminine,1,,,1
"Anna",Anna,Ann-,,,Feminine,1,,,1
"Antananarywa",Antananarywa,Antananaryw-,,,Feminine,1,,,1
"Antarktyda",Antarktyda,Antarktyd-,,,Feminine,1,,,1
"Antarktyka",Antarktyka,Antarktyk-,,,Feminine,1,,,1
"Antonina",Antonina,Antonin-,,,Feminine,1,,,1
"Antonówka",Antonówka,Antonówk-,,,Feminine,1,,,1
"Apokalipsa",Apokalipsa,Apokalips-,,,Feminine,1,,,1
"Arabka",Arabka,Arabk-,,,Feminine,1,,,1
"Argentyna",Argentyna,Argentyn-,,,Feminine,1,,,1
"Argentynka",Argentynka,Argentynk-,,,Feminine,1,,,1
"Arizona",Arizona,Arizon-,,,Feminine,1,,,1
"Arktyka",Arktyka,Arktyk-,,,Feminine,1,,,1
"Artemida",Artemida,Artemid-,,,Feminine,1,,,1
"Astana",Astana,Astan-,,,Feminine,1,,,1
"Atakama",Atakama,Atakam-,,,Feminine,1,,,1
"Atarynka",Atarynka,Atarynk-,,,Feminine,1,,,1
"Atena",Atena,Aten-,,,Feminine,1,,,1
"Atlantyda",Atlantyda,Atlantyd-,,,Feminine,1,,,1
"Augusta",Augusta,August-,,,Feminine,1,,,1
"Aurora",Aurora,Auror-,,,Feminine,1,,,1
"Australijka",Australijka,Australijk-,,,Feminine,1,,,1
"Austriaczka",Austriaczka,Austriaczk-,,,Feminine,1,,,1
"Azerbejdżanka",Azerbejdżanka,Azerbejdżank-,,,Feminine,1,,,1
"Azjatka",Azjatka,Azjatk-,,,Feminine,1,,,1
"Azteczka",Azteczka,Azteczk-,,,Feminine,1,,,1
"Babczyńska",Babczyńska,Babczyńsk-,,,Feminine,1,,,1
"Babińska",Babińska,Babińsk-,,,Feminine,1,,,1
"Baczewska",Baczewska,Baczewsk-,,,Feminine,1,,,1
"Baczmaga",Baczmaga,Baczmag-,,,Feminine,1,,,1
"Badowska",Badowska,Badowsk-,,,Feminine,1,,,1
"Badura",Badura,Badur-,,,Feminine,1,,,1
"Baduła",Baduła,Baduł-,,,Feminine,1,,,1
"Bagińska",Bagińska,Bagińsk-,,,Feminine,1,,,1
"Bakuła",Bakuła,Bakuł-,,,Feminine,1,,,1
"Balasa",Balasa,Balas-,,,Feminine,1,,,1
"Balita",Balita,Balit-,,,Feminine,1,,,1
"Balińska",Balińska,Balińsk-,,,Feminine,1,,,1
"Bandurska",Bandurska,Bandursk-,,,Feminine,1,,,1
"Baranowska",Baranowska,Baranowsk-,,,Feminine,1,,,1
"Barańska",Barańska,Barańsk-,,,Feminine,1,,,1
"Barbara",Barbara,Barbar-,,,Feminine,1,,,1
"Barcelona",Barcelona,Barcelon-,,,Feminine,1,,,1
"Barcikowska",Barcikowska,Barcikowsk-,,,Feminine,1,,,1
"Barnowska",Barnowska,Barnowsk-,,,Feminine,1,,,1
"Barszczewska",Barszczewska,Barszczewsk-,,,Feminine,1,,,1
"Bartowska",Bartowska,Bartowsk-,,,Feminine,1,,,1
"Bartycha",Bartycha,Bartych-,,,Feminine,1,,,1
"Barucha",Barucha,Baruch-,,,Feminine,1,,,1
"Barycza",Barycza,Barycz-,,,Feminine,1,,,1
"Baryła",Baryła,Barył-,,,Feminine,1,,,1
"Barłoga",Barłoga,Barłog-,,,Feminine,1,,,1
"Basiura",Basiura,Basiur-,,,Feminine,1,,,1
"Baskijka",Baskijka,Baskijk-,,,Feminine,1,,,1
"Basta",Basta,Bast-,,,Feminine,1,,,1
"Baszkirka",Baszkirka,Baszkirk-,,,Feminine,1,,,1
"Batszeba",Batszeba,Batszeb-,,,Feminine,1,,,1
"Bawarka",Bawarka,Bawark-,,,Feminine,1,,,1
"Bazylea",Bazylea,Bazyle-,,,Feminine,1,,,1
"Baćmaga",Baćmaga,Baćmag-,,,Feminine,1,,,1
"Bała",Bała,Bał-,,,Feminine,1,,,1
"Bałaga",Bałaga,Bałag-,,,Feminine,1,,,1
"Bałucka",Bałucka,Bałuck-,,,Feminine,1,,,1
"Bałuta",Bałuta,Bałut-,,,Feminine,1,,,1
"Baśka",Baśka,Baśk-,,,Feminine,1,,,1
"Beata",Beata,Beat-,,,Feminine,1,,,1
"Beatka",Beatka,Beatk-,,,Feminine,1,,,1
"Beczała",Beczała,Beczał-,,,Feminine,1,,,1
"Bednarska",Bednarska,Bednarsk-,,,Feminine,1,,,1
"Belczewska",Belczewska,Belczewsk-,,,Feminine,1,,,1
"Belgijka",Belgijka,Belgijk-,,,Feminine,1,,,1
"Bembnista",Bembnista,Bembnist-,,,Feminine,1,,,1
"Benedykta",Benedykta,Benedykt-,,,Feminine,1,,,1
"Beninka",Beninka,Benink-,,,Feminine,1,,,1
"Bernacka",Bernacka,Bernack-,,,Feminine,1,,,1
"Bernadeta",Bernadeta,Bernadet-,,,Feminine,1,,,1
"Betelgeza",Betelgeza,Betelgez-,,,Feminine,1,,,1
"Betesda",Betesda,Betesd-,,,Feminine,1,,,1
"Bezucha",Bezucha,Bezuch-,,,Feminine,1,,,1
"Bełza",Bełza,Bełz-,,,Feminine,1,,,1
"Bhutanka",Bhutanka,Bhutank-,,,Feminine,1,,,1
"Biała",Biała,Biał-,,,Feminine,1,,,1
"Białka",Białka,Białk-,,,Feminine,1,,,1
"Białobrzeska",Białobrzeska,Białobrzesk-,,,Feminine,1,,,1
"Białogłowska",Białogłowska,Białogłowsk-,,,Feminine,1,,,1
"Białorusinka",Białorusinka,Białorusink-,,,Feminine,1,,,1
"Białostocczanka",Białostocczanka,Białostocczank-,,,Feminine,1,,,1
"Białostocczyzna",Białostocczyzna,Białostocczyzn-,,,Feminine,1,,,1
"Białota",Białota,Białot-,,,Feminine,1,,,1
"Bida",Bida,Bid-,,,Feminine,1,,,1
"Bieda",Bieda,Bied-,,,Feminine,1,,,1
"Biedronka",Biedronka,Biedronk-,,,Feminine,1,,,1
"Biegała",Biegała,Biegał-,,,Feminine,1,,,1
"Bielacka",Bielacka,Bielack-,,,Feminine,1,,,1
"Bielawska",Bielawska,Bielawsk-,,,Feminine,1,,,1
"Bielecka",Bielecka,Bieleck-,,,Feminine,1,,,1
"Bielenda",Bielenda,Bielend-,,,Feminine,1,,,1
"Bielińska",Bielińska,Bielińsk-,,,Feminine,1,,,1
"Bielska",Bielska,Bielsk-,,,Feminine,1,,,1
"Bieluta",Bieluta,Bielut-,,,Feminine,1,,,1
"Bierkowska",Bierkowska,Bierkowsk-,,,Feminine,1,,,1
"Biernacka",Biernacka,Biernack-,,,Feminine,1,,,1
"Biesaga",Biesaga,Biesag-,,,Feminine,1,,,1
"Bijata",Bijata,Bijat-,,,Feminine,1,,,1
"Bilińska",Bilińska,Bilińsk-,,,Feminine,1,,,1
"Bilska",Bilska,Bilsk-,,,Feminine,1,,,1
"Binienda",Binienda,Biniend-,,,Feminine,1,,,1
"Binięda",Binięda,Binięd-,,,Feminine,1,,,1
"Birma",Birma,Birm-,,,Feminine,1,,,1
"Birmanka",Birmanka,Birmank-,,,Feminine,1,,,1
"Bistuła",Bistuła,Bistuł-,,,Feminine,1,,,1
"Blachnicka",Blachnicka,Blachnick-,,,Feminine,1,,,1
"Bladocha",Bladocha,Bladoch-,,,Feminine,1,,,1
