"6","barkać",bark,bark,barkać,騒動く,"to frolic, to rollick",1,present,0,0
"10","blochać",bloch,bloch,blochać,咽す,"to vomit",1,present,0,0
"11","blwać",blw,blw,blwać,咽す,"to vomit",1,present,0,0
"19","czakać",czak,czak,czakać,待つ、まほす,"to wait, to await, to expect",1,present,0,0
"20","czosać",czos,czos,czosać,梳く、掻く,"to comb, to scratch",1,present,0,0
"21","czyrpać",czyrp,czyrp,czyrpać,描く、掬ふ,"to draw, to scoop",1,present,0,0
"24","dajać",daj,daj,dajać,与ふ,"to give",1,present,0,0
"27","drać",dr,dr,drać,引き裂く,"to tear, to rend",1,present,0,0
"32","gabać",gab,gab,gabać,奏する,"to accost, to beset, to accuse, to indict, to sue ",1,present,0,0
"34","gatać",gat,gat,gatać,言ふ、語らふ,"to say, to talk",1,present,0,0
"35","ględać",ględ,ględ,ględać,見る、探る、あなぐる、心を付く、目に留む,"to look, to look at, to look for, to search, to seek, to regard, to be mindful of",1,present,0,0
"42","kasać",kas,kas,kasać,巻く,"to roll up, to tug up",1,present,0,0
"46","klwać",klw,klw,klwać,食む,"to peck",1,present,0,0
"47","kować",kow,kow,kować,焠ぐ、淬ぐ,"to forge, to manacle, to shackle",1,present,0,0
"51","ktać",kt,kt,ktać,咲く,"to bloom, to blossom",1,present,0,0
"55","kęsać",kęs,kęs,kęsać,噛む,"to bite",1,present,0,0
"56","kłtać",kłt,kłt,kłtać,飲み込む,"to swallow",1,present,0,0
"71","odrać",odr,odr,odrać,脱ぐ,"to strip, to unsheath, to steal, to sack ",1,aorist,0,0
"78","pachać",pach,pach,pachać,鋤く、犂く,"to plow, to till ",1,present,0,0
"81","plwać",plw,plw,plwać,息を放つ、つはく,"to spit",1,present,0,0
"82","plęsać",plęs,plęs,plęsać,撥ぬ、跳ぬ、踊る,"to bounce, to dance",1,present,0,0
"84","poczywać",poczyw,poczyw,poczywać,怠る、憩ふ、息ふ,"to rest, to take rest",1,present,0,0
"85","pognać",pogn,pogn,pognać,追ひ棄つ,"to make someone leave",1,aorist,0,0
"86","pogłytać",pogłyt,pogłyt,pogłytać,食らふ,"to devour, to swallow",1,aorist,0,0
"93","przekażać",przekaż,przekaż,przekażać,さはる、さやる,"to hinder, to impede, to interrupt, to disgrace, to dishonour, to put to shame, to infringe, to contravene, to thwart",1,aorist,0,0
"94","pwać",pw,pw,pwać,打ち頼む,"to trust",1,present,0,0
"95","pławać",pław,pław,pławać,泳ぐ,"to swim, to sail",1,present,0,0
"98","płókać",płók,płók,płókać,濯ぐ、滌ぐ、漱ぐ,"to rinse",1,present,0,0
"100","reptać",rept,rept,reptać,独りごつ,"to murmur, to grumble",1,present,0,0
"102","rzazać",rzaz,rzaz,rzazać,切る,"to cut, to slice",1,present,0,0
"111","skrżytać",skrżyt,skrżyt,skrżytać,磨る、摩る、擦る、擂る,"to gnash, to grate, to rasp, to neigh, to grunt, to hiss,  to fume, to rage",1,present,0,0
"113","snować",snow,snow,snować,績む,"to warp yarn, to spin",1,present,0,0
"117","stajać",staj,staj,stajać,とまる、たしなむ、現ず,"to remain, to stay, to endure, to last, to cease, to stop, to appear, to become",1,present,0,0
"118","stradać",strad,strad,stradać,奪わる,"to be bereft, to be deprived, to get impoverished ",1,present,0,0
"120","sukać",suk,suk,sukać,ねづ、もぢる,"to twist, to strand thread",1,present,0,0
"122","szczwać",szczw,szczw,szczwać,,"to sic",1,present,0,0
"123","szepiotać",szepiot,szepiot,szepiotać,ひひらく,"to lisp",1,present,0,0
"126","słuszać",słusz,słusz,słuszać,聞く、伏す,"to hearken, to listen, to obey",1,present,0,0
"129","tarchać",tarch,tarch,tarchać,打ち戦慄く、戦慄く、語ふ、ささめく、つつめく,"to clatter, to rattle, to talk, to whisper",1,present,0,0
"130","tarkać",tark,tark,tarkać,打ち戦慄く、戦慄く、語ふ、ささめく、つつめく,"to clatter, to rattle, to talk, to whisper",1,present,0,0
"138","umirać",umir,umir,umirać,失す,"to die",1,present,0,0
"140","upwać",upw,upw,upwać,打ち頼む,"to trust",1,present,0,0
"144","więzać",więz,więz,więzać,絡ぐ、括る,"to bind, to tie",1,present,0,0
"145","wnimać",wnim,wnim,wnimać,,"to deem, to think, to cogitate, to consider, to expect, to anticipate",1,present,0,0
"152","włodać",włod,włod,włodać,治む,"to reign, to rule",1,present,0,0
"157","zgibać",zgib,zgib,zgibać,撓む、搔い綰む,"to bend, to curve",1,present,0,0
"158","zobać",zob,zob,zobać,突き食う,"to eat by pecking",1,present,0,0
"163","łaskać",łask,łask,łaskać,,"to stroke, to caress",1,present,0,0
"164","łokać",łok,łok,łokać,,"to lap, to guzzle",1,present,0,0
"168","śpiać",śpi,śpi,śpiać,,"to have time, to keep up with",1,present,0,0
"172","żdać",żd,żd,żdać,待つ、まほす,"to wait, to await, to expect",1,aorist,0,0
"175","żwać",żw,żw,żwać,,"to chew, to masticate",1,present,0,0
"176","żędać",żęd,żęd,żędać,まほす,"to crave, to long for, to implore, to wish",1,present,0,0
"12","bojeć",bojej,bojej,bojeć,,"to be afraid, to fear, to worry, to fret",2,present,0,0
"18","cirzpieć",cirzpiej,cirzpiej,cirzpieć,悶ゆ、燃え焦がる、胸焦がる、苦しぶ、窘む、打ち悩む,"to suffer, to bear, to endure",2,present,0,0
"30","dzierżeć",dzierżej,dzierżej,dzierżeć,,"to hold, to keep",2,present,0,0
"36","ględzieć",ględziej,ględziej,ględzieć,守る、見る、見ゆ,"to look, to look at",2,present,0,0
"60","lpieć",lpiej,lpiej,lpieć,,"to adhere, to cling",2,present,0,0
"61","mirzieć",mirziej,mirziej,mirzieć,,"to disgust",2,present,0,0
"63","mnieć",mniej,mniej,mnieć,,"to think, to suppose",2,present,0,0
"67","naczrzeć",naczrzej,naczrzej,naczrzeć,,"to draw, to scoop",2,aorist,0,0
"76","otewrzeć",otewrzej,otewrzej,otewrzeć,開く,"to open, to reveal",2,aorist,0,0
"90","postrzeć",postrzej,postrzej,postrzeć,広ごる、しく、領く、敷く,"to spread",2,aorist,0,0
"99","rdzieć",rdziej,rdziej,rdzieć,,"to rust",2,,0,0
"103","rzwieć",rzwiej,rzwiej,rzwieć,,"to roar, to bellow, to scream",2,,0,0
"124","sąmnieć",sąmniej,sąmniej,sąmnieć,,"to have doubts, to resist, to be afraid, to fear, to be ashamed, to regret",2,,0,0
"127","słuszeć",słuszej,słuszej,słuszeć,,"to be equitable, to befit, to behove, to serve some purpose, to suit",2,,0,0
"143","wiercieć",wierciej,wierciej,wiercieć,,"to bore, to drill, to perforate, to wriggle",2,,0,0
"151","wznieć",wzniej,wzniej,wznieć,聞こゆ,"to sound",2,,0,0
"170","świrbieć",świrbiej,świrbiej,świrbieć,,"to itch",2,,0,0
"171","źrzeć",źrzej,źrzej,źrzeć,,"to look, to look at, to ripen",2,,0,0
"173","żeleć",żelej,żelej,żeleć,,"to grieve, to regret",2,,0,0
"25","darznąć",darznie,darzn,darznąć,,"to dare, to encroach",3,,0,0
"45","kinąć",kinie,kin,kinąć,,"to fling, to throw",3,,0,0
"59","lnąć",lnie,ln,lnąć,,"to adhere, to cling",3,,0,0
"68","nacząć",naczie,nacz,nacząć,始む、起こる,"to begin, to commence, to start",3,,0,0
"72","okchnąć",okchnie,okchn,okchnąć,,"to become mute, to become speechless",3,,0,0
"109","skiwnąć",skiwnie,skiwn,skiwnąć,,"to beckon",3,,0,0
"119","stydnąć",stydnie,stydn,stydnąć,,"to cool, to cool down",3,,0,0
"148","wyknąć",wyknie,wykn,wyknąć,,"to learn, to get used to",3,,0,0
"14","bucić",buc,bucz,bucić,,"to be arrogant, to vaunt",4,,0,0
"15","bydlić",bydl,bydl,bydlić,佇む,"to dwell, to live, to reside",4,,0,0
"17","celić",cel,cel,celić,継ぐ、続ぐ,"to fix, to mend, to repair",4,,0,0
"22","czyrślić",czyrśl,czyrśl,czyrślić,,"to peel strip of white bark around trunk so that tree withers",4,,0,0
"26","dawić",daw,dawi,dawić,,"to choke, to strangle, to strangulate, to suffocate",4,,0,0
"29","dziedzić",dziedz,dziedz,dziedzić,継がふ,"to inherit",4,,0,0
"33","galić",gal,gal,galić,,"to favour",4,,0,0
"39","głobić",głob,głobi,głobić,,"to bond, to rack, to torment, to vex, to care, to worry",4,,0,0
"43","kazić",kaz,każ,kazić,こほつ、くづす,"to destroy, to devastate, to wreck, to spoil",4,,0,0
"44","kaźnić",kaźn,kaźni,kaźnić,,"to punish, to penalize, to castigate, to chastise, to rebuke, to reprimand",4,,0,0
"49","krzcić",krzc,krzce,krzcić,,"to baptize, to cross",4,,0,0
"53","kusić",kus,kusz,kusić,,"to examine, to prove, to incite, to induce, to tempt, to taste, to check, to investigate, to train, to practice",4,,0,0
