"9014","aalborski","aalborski","aalborsk-",オールボルグスキー,Aalborg,1-2i,0,0,0
"9015","abazyński","abazyński","abazyńsk-",アバジニアン,Abazinian,1-2i,0,0,0
"9016","abażurowy","abażurowy","abażurow-",ランプシェード,lampshade,1-2,0,0,0
"9017","abchaski","abchaski","abchask-",アブハジア語,Abkhazian,1-2i,0,0,0
"9018","abdominalny","abdominalny","abdominaln-",腹部,abdominal,1-2,0,0,0
"9019","abdukcyjny","abdukcyjny","abdukcyjn-",誘拐,abductive,1-2,0,0,0
"9020","abdykacyjny","abdykacyjny","abdykacyjn-",アブディケーティブ,abdicative,1-2,0,0,0
"9021","abecadlny","abecadlny","abecadln-",アルファベット順,abecadal,1-2,0,0,0
"9022","abecadłowy","abecadłowy","abecadłow-",アルファベット順,abecadal,1-2,0,0,0
"9023","aberracyjny","aberracyjny","aberracyjn-",異常,aberrant,1-2,0,0,0
"9024","abietynowy","abietynowy","abietynow-",アビエチン,abietic,1-2,0,0,0
"9025","abiogenny","abiogenny","abiogenn-",非生物起源,abiogenic,1-2,0,0,0
"9026","abiotyczny","abiotyczny","abiotyczn-",非生物的,abiotic,1-2,0,0,0
"9027","abisalny","abisalny","abisaln-",深淵,abysmal,1-2,0,0,0
"9028","abisyński","abisyński","abisyńsk-",アビシニアン,Abyssinian,1-2i,0,0,0
"9029","ablacyjny","ablacyjny","ablacyjn-",アブレイティブ,ablative,1-2,0,0,0
"9030","abnegacki","abnegacki","abnegack-",アブネガティアン,Abnegatian,1-2i,0,0,0
"9031","abolicjonistyczny","abolicjonistyczny","abolicjonistyczn-",廃止主義者,abolitionist,1-2,0,0,0
"9032","abolicyjny","abolicyjny","abolicyjn-",廃止主義者,abolitionist,1-2,0,0,0
"9033","abonamentowy","abonamentowy","abonamentow-",サブスクリプション,subscriptionist,1-2,0,0,0
"9034","abonencki","abonencki","abonenck-",サブスクライバ,subscriber,1-2i,0,0,0
"9035","aborcjonistyczny","aborcjonistyczny","aborcjonistyczn-",流産主義者,abortionist,1-2,0,0,0
"9036","aborcyjny","aborcyjny","aborcyjn-",中絶,abortionist,1-2,0,0,0
"9037","abordażowy","abordażowy","abordażow-",搭乗,abortionist,1-2,0,0,0
"9038","abrazyjny","abrazyjny","abrazyjn-",研磨剤,abrasive,1-2,0,0,0
"9039","absencyjny","absencyjny","absencyjn-",欠席主義,absentive,1-2,0,0,0
"9040","absolutny","absolutny","absolutn-",絶対の,absolute,1-2,0,0,0
"9041","absolutoryjny","absolutoryjny","absolutoryjn-",絶対の,absolute,1-2,0,0,0
"9042","absolutystyczny","absolutystyczny","absolutystyczn-",絶対主義者,absolutist,1-2,0,0,0
"9043","absolwencki","absolwencki","absolwenck-",卒業生,graduate,1-2i,0,0,0
"9044","absorpcyjny","absorpcyjny","absorpcyjn-",吸収性,absorptive,1-2,0,0,0
