"100",svatti,"ad",su,present,0,2,味わい深く、好かれ、味わい、食べ、喜ばせ、甘くする,"to be pleasant to the taste, to be liked, to taste, to eat, to please, to make sweet",0,0,0,0,0,0
"101",bhandati,"bhand",,present,0,1,賛美、名誉、崇拝で迎えられる,"to be greeted with praise, to honour, to worship",0,0,0,0,0,0
"102",bādhati,"bādh",,present,0,1,抑圧する、苦しめる,"to oppress, to torment",0,0,0,0,0,0
"103",bādhati,"bādh",,present,0,4,抑圧する、苦しめる,"to oppress, to torment",0,0,0,0,0,0
"104",cayati,"ci",,present,0,1,嫌悪する、憎む、復讐する、罰する,"to detest, to hate, to revenge, to punish",0,0,0,0,0,0
"105",cinoti,"ci",,present,0,5,整理する、積み上げる、積み上げる、構築する、集める、集める、蓄積する、自分のために獲得する,"to arrange in order, to heap up, to pile up, to construct, to collect, to gather together, to accumulate, to acquire for one's self",0,0,0,0,0,0
"106",ciketi,"ci",,aorist,0,3,観察し、知覚する,"to observe, perceive",0,0,0,0,0,0
"107",cinoti,"ci",,aorist,0,5,観察し、知覚する,"to observe, perceive",0,0,0,0,0,0
"108",citati,"cit",,present,0,1,観察し、知覚する,"to observe, perceive",0,0,0,0,0,0
"109",cintayati,"cint",,present,0,10,考える,to think,0,0,0,1,0,0
"110",dadati,"dad",,aorist,1,1,与える、提示する,"to give, to present",0,0,1,1,1,1
"111",dadhati,"dadh",,aorist,1,1,入れる、入れる、設定する,"to put, to put into, to set",0,0,1,1,1,1
"112",upasaṃgamati,"gam",upasaṃ,aorist,0,1,一緒に近づく、団結する、参加する、近づく、近づく,"to approach together, to unite, to join, to go near, to come near",0,0,0,0,0,0
"113",upasaṃganti,"gam",upasaṃ,aorist,0,2,一緒に近づく、団結する、参加する、近づく、近づく,"to approach together, to unite, to join, to go near, to come near",0,0,0,0,0,0
"114",upasaṃjaganti,"gam",upasaṃ,aorist,0,3,一緒に近づく、団結する、参加する、近づく、近づく,"to approach together, to unite, to join, to go near, to come near",0,0,0,0,0,0
"115",ghaṛṣati,"ghṛṣ",,aorist,1,1,喜ぶ、歓喜する、髪の毛のように直立する、嘘をつく,"to rejoice, to exult, to stand erect as hair, to tell a lie",0,0,0,0,0,0
"116",ghaṛṣati,"ghṛṣ",,aorist,1,1,挽く、叩く、叩く、こする、磨く、磨く,"to grind, to pound, to strike, to rub, to brush, to polish",0,0,0,0,0,0
"117",gādhati,"gādha",,aorist,1,1,出発する、飛び込む、探す、コンパイルする、つなぎ合わせる、とどまる,"to set out for, to dive, to seek, to compile, to string together, to stay",0,0,0,0,0,0
"118",gāhati,"gāh",,present,1,1,潜る、入浴する、浸透する、かき混ぜる、かき回す、吸収される、身を隠す、破壊する,"to dive, to bathe, to penetrate, to agitate or churn, to be absorbed in, to hide onself in, to destroy",0,0,0,0,0,0
"119",gāhati,"gāh",,aorist,1,1,潜る、入浴する、浸透する、かき混ぜる、かき回す、吸収される、身を隠す、破壊する,"to dive, to bathe, to penetrate, to agitate or churn, to be absorbed in, to hide onself in, to destroy",0,0,0,0,0,0
