"4000","anieleć",anielej,anieleje,anieleć,どこかに行って,go away,2,present,0,0
"4001","apatycznieć",apatyczniej,apatycznieje,apatycznieć,無関心,apathetic,2,present,0,0
"4002","babieć",babiej,babieje,babieć,祖母,grandmother,2,present,0,0
"4003","baranieć",baraniej,baranieje,baranieć,羊,sheep,2,present,0,0
"4004","bałwanieć",bałwaniej,bałwanieje,bałwanieć,雪だるま,snowman,2,present,0,0
"4005","beczeć",beczej,beczeje,beczeć,bleat,bleat,2,present,0,0
"4006","bezsilnieć",bezsilniej,bezsilnieje,bezsilnieć,無力,powerless,2,present,0,0
"4007","bezwładnieć",bezwładniej,bezwładnieje,bezwładnieć,しなやかに,to limp,2,present,0,0
"4008","biednieć",biedniej,biednieje,biednieć,貧しくなります,grow poor,2,present,0,0
"4009","bieleć",bielej,bieleje,bieleć,シロアリ,termite,2,present,0,0
"4010","bogacieć",bogaciej,bogacieje,bogacieć,豊かにする,enrich,2,present,0,0
"4011","brązowieć",brązowiej,brązowieje,brązowieć,茶色,brown,2,present,0,0
"4012","byczeć",byczej,byczeje,byczeć,強気に,to bullish,2,present,0,0
"4013","bzyczeć",bzyczej,bzyczeje,bzyczeć,にぎやか,buzzing,2,present,0,0
"4014","chamieć",chamiej,chamieje,chamieć,粗くする,roughen,2,present,0,0
"4015","chmurnieć",chmurniej,chmurnieje,chmurnieć,暗くする,darken,2,present,0,0
"4016","ciemnieć",ciemniej,ciemnieje,ciemnieć,暗くする,darken,2,present,0,0
"4017","cienieć",cieniej,cienieje,cienieć,薄い,thin,2,present,0,0
"4018","czernieć",czerniej,czernieje,czernieć,黒くする,blacken,2,present,0,0
"4019","czerwienieć",czerwieniej,czerwienieje,czerwienieć,赤くなる,to turn red,2,present,0,0
"4020","dobrzeć",dobrzej,dobrzeje,dobrzeć,良い,good,2,present,0,0
"4021","dorośleć",doroślej,dorośleje,dorośleć,成長する,grow up,2,present,0,0
"4022","drewnieć",drewniej,drewnieje,drewnieć,木化,lignify,2,present,0,0
"4023","drożeć",drożej,drożeje,drożeć,より高価になる,become more expensive,2,present,0,0
"4024","drętwieć",drętwiej,drętwieje,drętwieć,しびれる,go numb,2,present,0,0
"4025","durnieć",durniej,durnieje,durnieć,バカ,fool,2,present,0,0
"4026","dziczeć",dziczej,dziczeje,dziczeć,野蛮,savage,2,present,0,0
"4027","dziecinnieć",dziecinniej,dziecinnieje,dziecinnieć,子供っぽくなる,become childish,2,present,0,0
"4028","flaczeć",flaczej,flaczeje,flaczeć,かすかな,faint,2,present,0,0
"4029","gliwieć",gliwiej,gliwieje,gliwieć,腐敗,rot,2,present,0,0
"4030","gnuśnieć",gnuśniej,gnuśnieje,gnuśnieć,怠惰,laze,2,present,0,0
"4031","grabieć",grabiej,grabieje,grabieć,レーキ,rake,2,present,0,0
"4032","grubieć",grubiej,grubieje,grubieć,厚くする,thicken,2,present,0,0
