Abchaz,,,,,,,,,1
Abraham,,,,,,,,,1
Abram,,,,,,,,,1
Abraszewski,,,,,,,,,1
Achilles,,,,,,,,,1
Adam,,,,,,,,,1
Adamski,,,,,,,,,1
Adamus,,,,,,,,,1
Adasiak,,,,,,,,,1
Adasiek,,,,,,,,,1
Adasiewicz,,,,,,,,,1
Adasik,,,,,,,,,1
Adaszkiewicz,,,,,,,,,1
Adaś,,,,,,,,,1
Adaśko,,,,,,,,,1
Adolf,,,,,,,,,1
Adrian,,,,,,,,,1
Adrianowicz,,,,,,,,,1
Adwentowicz,,,,,,,,,1
Adydan,,,,,,,,,1
Afganistan,,,,,,,,,1
Afgańczyk,,,,,,,,,1
Afrykańczyk,,,,,,,,,1
Agacki,,,,,,,,,1
Agnieszczak,,,,,,,,,1
Agopsowicz,,,,,,,,,1
Ajdukiewicz,,,,,,,,,1
Akwizgran,,,,,,,,,1
Aladyn,,,,,,,,,1
Albańczyk,,,,,,,,,1
Albert,,,,,,,,,1
Albinowski,,,,,,,,,1
Alchimowicz,,,,,,,,,1
Aleksander,,,,,,,,,1
Aleksandra,,,,,,,,,1
Aleksandrowicz,,,,,,,,,1
Aleksiewicz,,,,,,,,,1
Alfons,,,,,,,,,1
Algier,,,,,,,,,1
Algierczyk,,,,,,,,,1
Alkiewicz,,,,,,,,,1
Alojzy,,,,,,,,,1
Ambrosewicz,,,,,,,,,1
Ambroziak,,,,,,,,,1
Ambroziewicz,,,,,,,,,1
Ambrozik,,,,,,,,,1
Ambrożewicz,,,,,,,,,1
Ambrożkiewicz,,,,,,,,,1
Ambroży,,,,,,,,,1
Anastazy,,,,,,,,,1
Anatol,,,,,,,,,1
Ancewicz,,,,,,,,,1
Andorczyk,,,,,,,,,1
Andruchewicz,,,,,,,,,1
Andruchowicz,,,,,,,,,1
Andrukiewicz,,,,,,,,,1
Andrulewicz,,,,,,,,,1
Andrusewicz,,,,,,,,,1
Andrusiewicz,,,,,,,,,1
Andruszczak,,,,,,,,,1
Andruszkiewicz,,,,,,,,,1
Andrych,,,,,,,,,1
Andrychiewicz,,,,,,,,,1
Andrysewicz,,,,,,,,,1
Andrysiewicz,,,,,,,,,1
Andryszczak,,,,,,,,,1
Andryszkiewicz,,,,,,,,,1
Andrzej,,,,,,,,,1
Andrzejczak,,,,,,,,,1
Andrzejczuk,,,,,,,,,1
Andrzejczyk,,,,,,,,,1
Andrzejewicz,,,,,,,,,1
