"2250","Θεοτοκίον",Θεοτοκί,Feminine,1on,,,0,1,1
"2251","Θεοτόκος",Θεοτόκ,Feminine,2,,,0,1,1
"2252","αἰχμάλωτος",αἰχμάλωτ,Feminine,2,キャプティブ,captive,0,0,0
"2253","αἴγαγρος",αἴγαγρ,Feminine,2,シャモア,chamois,0,0,0
"2254","αἴγειρος",αἴγειρ,Feminine,2,山羊座,Capricorn,0,0,0
"2255","αἴγιλος",αἴγιλ,Feminine,2,犬,dog,0,0,0
"2256","αἴλουρος",αἴλουρ,Feminine,2,山猫,wildcat,0,0,0
"2257","βάλανος",βάλαν,Feminine,2,どんぐり,acorn,0,0,0
"2258","βάρβιτος",βάρβιτ,Feminine,2,バルビトス,barbitos,0,0,0
"2259","βάσανος",βάσαν,Feminine,2,拷問,torture,0,0,0
"2260","βάτος",βάτ,Feminine,2,野ばら,bramble,0,0,0
"2261","βήρυλλος",βήρυλλ,Feminine,2,ベリル,beryl,0,0,0
"2262","βίβλος",βίβλ,Feminine,2,聖書,Holy Bible,0,0,0
"2263","βουσός",βουσ,Feminine,2,お尻,butt,0,0,0
"2264","βούλιμος",βούλιμ,Feminine,2,官能的な,voluptuous,0,0,0
"2265","βούπλευρος",βούπλευρ,Feminine,2,水疱瘡,bupleurus,0,0,0
"2266","βροτός",βροτ,Feminine,2,サンダー,thunder,0,0,0
"2267","βύβλος",βύβλ,Feminine,2,水疱,bublus,0,0,0
"2268","βύσσος",βύσσ,Feminine,2,プラグ,plug,0,0,0
"2269","βῶλος",βῶλ,Feminine,2,ボーラス,bolus,0,0,0
"2270","γάλως",γάλ,Feminine,2a,ガリア語,Gallic,0,0,0
"2271","γέρανος",γέραν,Feminine,2,クレーン,crane,0,0,0
"2272","γαληψός",γαληψ,Feminine,2,搾乳,milking,0,0,0
"2273","γνάθος",γνάθ,Feminine,2,あごの骨,jaw bone,0,0,0
"2274","γόνος",γόν,Feminine,2,子孫,offspring,0,0,0
"2275","γύψος",γύψ,Feminine,2,石膏,plaster,0,0,0
