"1","barzy",barzy,barz-,バー,bar,1-2,0,0,0
"2","bracski",bracski,bracsk-,兄弟,brotherly,1-2i,0,0,0
"3","chudy",chudy,chud-,スキニー,skinny,1-2,0,0,0
"4","chędogi",chędogi,chędog-,几帳面,tidy,1-2i,0,0,0
"5","czsny",czsny,czsn-,czsny,czsny,1-2,0,0,0
"6","darski",darski,darsk-,ダルスキー,darski,1-2i,0,0,0
"7","gliwy",gliwy,gliw-,ふさふさ,bushy,1-2,0,0,0
"8","gomoły",gomoły,gomoł-,しこり,lumps,1-2,0,0,0
"9","gorazdy",gorazdy,gorazd-,ゴラズド,gorazd,1-2,0,0,0
"10","goły",goły,goł-,裸,bare,1-2,0,0,0
"11","gołęby",gołęby,gołęb-,鳩,pigeons,1-2,0,0,0
"12","gręby",gręby,gręb-,ゲーム,games,1-2,0,0,0
"13","głupy",głupy,głup-,馬鹿な,silly,1-2,0,0,0
"14","jegojski",jegojski,jegojsk-,彼の,his,1-2i,0,0,0
"15","kosaty",kosaty,kosat-,kosaty,kosaty,1-2,0,0,0
"16","leny",leny,len-,亜麻,flax,1-2,0,0,0
"17","luty",luty,lut-,2月,February,1-2,0,0,0
"18","opłwity",opłwity,opłwit-,良い,nice,1-2,0,0,0
"19","piaseczny",piaseczny,piaseczn-,砂,sand,1-2,0,0,0
"20","pierwy",pierwy,pierw-,最初,first,1-2,0,0,0
"21","prokny",prokny,prokn-,prokny,prokny,1-2,0,0,0
"22","prózny",prózny,prózn-,うぬぼれが強い,vain,1-2,0,0,0
"23","puchlny",puchlny,puchln-,腫れ,swollen,1-2,0,0,0
"24","płony",płony,płon-,やけど,burns,1-2,0,0,0
"25","płoski",płoski,płosk-,カナリア,Canary,1-2i,0,0,0
"26","rydzy",rydzy,rydz-,rydzy,rydzy,1-2,0,0,0
"27","rzewniwy",rzewniwy,rzewniw-,ゴツゴツ,lumpy,1-2,0,0,0
"28","strowy",strowy,strow-,文字列,strings,1-2,0,0,0
"29","szady",szady,szad-,ぼろきれ,rags,1-2,0,0,0
"30","szczyry",szczyry,szczyr-,槍,spears,1-2,0,0,0
"31","truchły",truchły,truchł-,死骸,carcass,1-2,0,0,0
"32","tszczy",tszczy,tszcz-,虹,rainbow,1-2,0,0,0
"33","urępny",urępny,urępn-,平穏,uneventful,1-2,0,0,0
"34","wiekui",wiekui,wieku-,世紀,century,1-2i,0,0,0
"35","wielgi",wielgi,wielg-,すごい,great,1-2i,0,0,0
"36","wieli",wieli,wiel-,たくさんの,many,1-2i,0,0,0
"37","wiesioły",wiesioły,wiesioł-,マツヨイグサ,evening primrose,1-2,0,0,0
"38","wieszczy",wieszczy,wieszcz-,予言的,prophetic,1-2,0,0,0
"39","wilgi",wilgi,wilg-,オリオールズ,orioles,1-2i,0,0,0
"40","wiotchy",wiotchy,wiotch-,弛緩,flaccid,1-2,0,0,0
"41","wisny",wisny,wisn-,wisny,wisny,1-2,0,0,0
"44","wnętrzny",wnętrzny,wnętrzn-,内部,internal,1-2,0,0,0
"45","wszemogący",wszemogący,wszemogąc-,ひねくれた,perverse,1-2,0,0,0
"46","wypragły",wypragły,wypragł-,要求された,demanded,1-2,0,0,0
"47","wysszy",wysszy,wyssz-,背が高い,taller,1-2,0,0,0
"48","wyszszy",wyszszy,wyszsz-,短い,shorter,1-2,0,0,0
"49","wyżgły",wyżgły,wyżgł-,死んだ,have died out,1-2,0,0,0
"50","włosny",włosny,włosn-,髪,hair,1-2,0,0,0
"51","zbrzeżny",zbrzeżny,zbrzeżn-,縁,edge,1-2,0,0,0
"52","łaczny",łaczny,łaczn-,合計,total,1-2,0,0,0
"53","łomny",łomny,łomn-,混雑した,crowded,1-2,0,0,0
"54","śmierny",śmierny,śmiern-,致命的,deadly,1-2,0,0,0
"55","źrzały",źrzały,źrzał-,トレント,torrents,1-2,0,0,0
"56","żydki",żydki,żydk-,ユダヤ人の女性,jewish women,1-2i,0,0,0
