"1345","oparzać",oparz,oparz,oparzać,燃えた,burn,1,aorist,0,0
"1346","pobijać",pobij,pobij,pobijać,ビート,beat,1,aorist,0,0
"1347","posilać",posil,posil,posilać,栄養を与える,nourish,1,aorist,0,0
"1348","skulać",skul,skul,skulać,しゃがむ,crouch,1,aorist,0,0
"1349","ubzdurać",ubzdur,ubzdur,ubzdurać,つぶやく,mumble,1,aorist,0,0
"1350","uganiać",ugani,ugani,uganiać,追跡,chase,1,aorist,0,0
"1351","uświadamiać",uświadami,uświadami,uświadamiać,人々に気づかせる,make people aware,1,aorist,0,0
"1352","wskórać",wskór,wskór,wskórać,達成,accomplish,1,aorist,0,0
"1353","wychujać",wychuj,wychuj,wychujać,高める,raise,1,aorist,0,0
"1354","wydymać",wydym,wydym,wydymać,吹き消す,blow out,1,aorist,0,0
"1355","zatrważać",zatrważ,zatrważ,zatrważać,怖がらせる,frighten,1,aorist,0,0
