40500,abiturient,abiturient,abiturient-,卒業,graduate,Masculine-Inanimate,2,0,0,0
40501,abnegat,abnegat,abnegat-,放棄する,abnegate,Masculine-Inanimate,2,0,0,0
40502,abonent,abonent,abonent-,サブスクライバー,subscriber,Masculine-Animate,2,0,0,0
40503,aborcjonista,aborcjonista,aborcjonist-,中絶医,abortionist,Masculine-Animate,1,0,0,0
40504,aborter,aborter,aborter-,中絶者,aborter,Masculine-Animate,2,0,0,0
40505,abp,abp,abp-,大司教,Archbishop,Masculine-Animate,2,0,0,0
40506,absenteista,absenteista,absenteist-,不在者,absentee,Masculine-Animate,1,0,0,0
40507,absolutysta,absolutysta,absolutyst-,絶対主義者,absolutist,Masculine-Animate,1,0,0,0
40508,absolwent,absolwent,absolwent-,卒業,graduate,Masculine-Inanimate,2,0,0,0
40509,abstrakcjonista,abstrakcjonista,abstrakcjonist-,抽象主義者,abstractionist,Masculine-Animate,1,0,0,0
40510,abstynent,abstynent,abstynent-,禁欲的な,abstinent,Masculine-Inanimate,2,0,0,0
40511,absurdalista,absurdalista,absurdalist-,不条理主義者,absurdist,Masculine-Animate,1,0,0,0
40512,absztyfikant,absztyfikant,absztyfikant-,ウーアー,wooer,Masculine-Animate,2,0,0,0
40513,abulik,abulik,abulik-,アブリク,abulik,Masculine-Inanimate,2k,0,0,0
40514,acai,acai,aca-,アサイー,acai,Masculine-Inanimate,2,0,0,0
40515,achromatop,achromatop,achromatop-,アクロマトプ,achromatop,Masculine-Inanimate,2,0,0,0
40516,acpai,acpai,acpa-,アクパイ,acpai,Masculine-Inanimate,2,0,0,0
40517,adaptator,adaptator,adaptator-,アダプタ,adapter,Masculine-Animate,2,0,0,0
40518,adept,adept,adept-,達人,adept,Masculine-Animate,2,0,0,0
40519,adherent,adherent,adherent-,フォロワー,follower,Masculine-Animate,2,0,0,0
40520,adiunkt,adiunkt,adiunkt-,講師,lecturer,Masculine-Animate,2,0,0,0
40521,adiustator,adiustator,adiustator-,編集者,editor,Masculine-Animate,2,0,0,0
40522,adiutancik,adiutancik,adiutancik-,副官,adjutant,Masculine-Animate,2k,0,0,0
40523,adiutant,adiutant,adiutant-,副官,adjutant,Masculine-Animate,2,0,0,0
40524,admii,admii,admi-,入場料,admission,Masculine-Inanimate,2,0,0,0
40525,administrator,administrator,administrator-,管理者,administrator,Masculine-Animate,2,0,0,0
40526,administratywista,administratywista,administratywist-,管理者,administrator,Masculine-Animate,1,0,0,0
40527,admirator,admirator,admirator-,賛美者,admirer,Masculine-Animate,2,0,0,0
40528,admirał,admirał,admirał-,提督,admiral,Masculine-Animate,2p,0,0,0
40529,adolescent,adolescent,adolescent-,思春期,adolescent,Masculine-Inanimate,2,0,0,0
40530,adorant,adorant,adorant-,賛美者,admirer,Masculine-Animate,2,0,0,0
40531,adorator,adorator,adorator-,賛美者,admirer,Masculine-Animate,2,0,0,0
40532,adresant,adresant,adresant-,宛名,addressee,Masculine-Animate,2,0,0,0
40533,adresat,adresat,adresat-,宛名,addressee,Masculine-Inanimate,2,0,0,0
40534,adwena,adwena,adwen-,アドベン,adven,Masculine-Animate,1,0,0,0
40535,adwentysta,adwentysta,adwentyst-,アドベンチスト,Adventist,Masculine-Animate,1,0,0,0
40536,adwersarz,adwersarz,adwersarz-,敵対者,adversary,Masculine-Animate,2,0,0,0
40537,adwokacik,adwokacik,adwokacik-,弁護士,attorney,Masculine-Animate,2k,0,0,0
40538,adwokacina,adwokacina,adwokacin-,弁護士,attorney,Masculine-Animate,1,0,0,0
40539,aerodynamik,aerodynamik,aerodynamik-,空気力学,aerodynamics,Masculine-Inanimate,2k,0,0,0
40540,aerolog,aerolog,aerolog-,航空学者,aerologist,Masculine-Animate,2k,0,0,0
40541,aeronauta,aeronauta,aeronaut-,飛行士,aeronaut,Masculine-Animate,1,0,0,0
40542,afatyk,afatyk,afatyk-,無関心,an apathy,Masculine-Inanimate,2k,0,0,0
40543,aferzysta,aferzysta,aferzyst-,詐欺師,swindler,Masculine-Animate,1,0,0,0
40544,afirmant,afirmant,afirmant-,肯定,affirmant,Masculine-Animate,2,0,0,0
40545,afirmatysta,afirmatysta,afirmatyst-,アファーマティスト,Affirmatist,Masculine-Animate,1,0,0,0
40546,afiszer,afiszer,afiszer-,ポスター,poster,Masculine-Inanimate,2,0,0,0
40547,aforysta,aforysta,aforyst-,アフォリスト,an aphorist,Masculine-Animate,1,0,0,0
40548,Afroamerykanin,Afroamerykanin,Afroamerykanin-,,,Masculine-Animate,2,0,0,1
40549,Afrykanin,Afrykanin,Afrykanin-,,,Masculine-Animate,2,0,0,1
40550,aga,aga,ag-,アガ,aga,Masculine-Animate,1,0,0,0
40551,agencik,agencik,agencik-,エージェント,agent,Masculine-Animate,2k,0,0,0
40552,agent,agent,agent-,エージェント,agent,Masculine-Animate,2,0,0,0
40553,agenł,agenł,agenł-,エージェンシー,agency,Masculine-Animate,2,0,0,0
40554,agnat,agnat,agnat-,アグネイト,agnate,Masculine-Inanimate,2,0,0,0
40555,agnostyk,agnostyk,agnostyk-,不可知論者,agnostic,Masculine-Animate,2k,0,0,0
40556,agrariusz,agrariusz,agrariusz-,農地の,agrarian,Masculine-Inanimate,2p,0,0,0
40557,agrarysta,agrarysta,agraryst-,農学者,agrarist,Masculine-Animate,1,0,0,0
40558,agresor,agresor,agresor-,侵略者,aggressor,Masculine-Animate,2,0,0,0
40559,agrobiolog,agrobiolog,agrobiolog-,農業生物学者,agrobiologist,Masculine-Animate,2k,0,0,0
40560,agrochemik,agrochemik,agrochemik-,農業化学者,agrochemist,Masculine-Animate,2k,0,0,0
40561,agrogeolog,agrogeolog,agrogeolog-,農業地質学者,agrogeologist,Masculine-Animate,2k,0,0,0
40562,agroklimatolog,agroklimatolog,agroklimatolog-,農業気候学者,agroclimatologist,Masculine-Animate,2k,0,0,0
40563,agrometeorolog,agrometeorolog,agrometeorolog-,農業気象学者,agrometeorologist,Masculine-Animate,2k,0,0,0
40564,agronom,agronom,agronom-,農学者,agronomist,Masculine-Animate,2,0,0,0
40565,agrotechnik,agrotechnik,agrotechnik-,農業技術者,agrotechnician,Masculine-Animate,2k,0,0,0
40566,agroturysta,agroturysta,agroturyst-,アグリツーリスト,agritourist,Masculine-Animate,1,0,0,0
40567,ajent,ajent,ajent-,修道士,friar,Masculine-Animate,2,0,0,0
40568,akademista,akademista,akademist-,学者,academician,Masculine-Animate,1,0,0,0
40569,akatolik,akatolik,akatolik-,非カトリック,non-Catholic,Masculine-Animate,2k,0,0,0
40570,akcentolog,akcentolog,akcentolog-,アクセント学者,accentologist,Masculine-Animate,2k,0,0,0
40571,akcept,akcept,akcept-,受け入れ,acceptance,Masculine-Inanimate,2,0,0,0
40572,akceptant,akceptant,akceptant-,受容者,acceptor,Masculine-Animate,2,0,0,0
40573,akcjonariusz,akcjonariusz,akcjonariusz-,株主,shareholder,Masculine-Animate,2p,0,0,0
40574,akcydensista,akcydensista,akcydensist-,ジョビスト,jobist,Masculine-Animate,1,0,0,0
40575,akcyźnik,akcyźnik,akcyźnik-,税理士,exciseman,Masculine-Animate,2k,0,0,0
40576,akmeista,akmeista,akmeist-,アクメイスト,acmeist,Masculine-Animate,1,0,0,0
40577,akolita,akolita,akolit-,アコライト,acolyte,Masculine-Animate,1,0,0,0
40578,akompaniator,akompaniator,akompaniator-,伴奏者,accompanist,Masculine-Animate,2,0,0,0
40579,akordeonista,akordeonista,akordeonist-,アコーディオン奏者,accordionist,Masculine-Animate,1,0,0,0
40580,akordnik,akordnik,akordnik-,コーダル,chordal,Masculine-Inanimate,2k,0,0,0
40581,akordowiec,akordowiec,akordowc-,出来高払い,piecework,Masculine-Inanimate,2p1,0,0,0
40582,akrobata,akrobata,akrobat-,アクロバット,acrobat,Masculine-Animate,1,0,0,0
40583,aksamitnik,aksamitnik,aksamitnik-,別珍,velveteen,Masculine-Inanimate,2k,0,0,0
40584,aktor,aktor,aktor-,俳優,actor,Masculine-Animate,2,0,0,0
40585,aktorzyk,aktorzyk,aktorzyk-,女優,actress,Masculine-Animate,2k,0,0,0
40586,aktorzyna,aktorzyna,aktorzyn-,女優,actress,Masculine-Animate,1,0,0,0
40587,aktualista,aktualista,aktualist-,現実主義者,actualist,Masculine-Animate,1,0,0,0
40588,aktuariusz,aktuariusz,aktuariusz-,アクチュアリー,actuary,Masculine-Inanimate,2p,0,0,0
40589,aktywista,aktywista,aktywist-,活動家,activist,Masculine-Animate,1,0,0,0
40590,aktywizator,aktywizator,aktywizator-,アクティベーター,activator,Masculine-Animate,2,0,0,0
40591,akupunkturzysta,akupunkturzysta,akupunkturzyst-,鍼灸師,acupuncturist,Masculine-Animate,1,0,0,0
