a,m
aṃśas,aṃśa,"Masculine",2,,,
aṃśakas,aṃśaka,"Masculine",2,,,
aṃśabhūs,aṃśabhū,"Masculine",3s,,,
aṃśavan,aṃśavat,"Masculine",3con,,,
aṃśasvaras,aṃśasvara,"Masculine",2,,,
aṃśāṃśas,aṃśāṃśa,"Masculine",2,,,
aṃśus,aṃśu,"Masculine",4u,,,
aṃśudharas,aṃśudhara,"Masculine",2,,,
aṃśudhārayas,aṃśudhāraya,"Masculine",2,,,
aṃśupatis,aṃśupati,"Masculine",3i,,,
aṃśubhartā,aṃśubhartṛ,"Masculine",3r,,,
aṃśuman,aṃśumat,"Masculine",3con,,,
aṃśumālī,aṃśumālin,"Masculine",3n,,,
aṃśulas,aṃśula,"Masculine",2,,,
aṃśuvāṇas,aṃśuvāṇa,"Masculine",2,,,
aṃśuvimardas,aṃśuvimarda,"Masculine",2,,,
aṃśuhastas,aṃśuhasta,"Masculine",2,,,
aṃsas,aṃsa,"Masculine",2,,,
aṃsakūṭas,aṃsakūṭa,"Masculine",2,,,
aṃsapīṭhas,aṃsapīṭha,"Masculine",2,,,
aṃsabhāras,aṃsabhāra,"Masculine",2,,,
aṃsebhāras,aṃsebhāra,"Masculine",2,,,
aṃsoccayas,aṃsoccaya,"Masculine",2,,,
aṃhasaspatis,aṃhasaspati,"Masculine",3i,,,
aṃhris,aṃhri,"Masculine",3i,,,
aṃhripas,aṃhripa,"Masculine",2,,,
aṃhriskandhas,aṃhriskandha,"Masculine",2,,,
akacas,akaca,"Masculine",2,,,
akaṭuphalas,akaṭuphala,"Masculine",2,,,
akaniṣṭhas,akaniṣṭha,"Masculine",2,,,
akaniṣṭhagas,akaniṣṭhaga,"Masculine",2,,,
akaniṣṭhapas,akaniṣṭhapa,"Masculine",2,,,
akapīvan,akapīvat,"Masculine",3con,,,
akabaras,akabara,"Masculine",2,,,
akabbaras,akabbara,"Masculine",2,,,
akampanas,akampana,"Masculine",2,,,
akampitas,akampita,"Masculine",2,,,
akartanas,akartana,"Masculine",2,,,
akartā,akartṛ,"Masculine",3r,,,
akarmabhogas,akarmabhoga,"Masculine",2,,,
akalmaṣas,akalmaṣa,"Masculine",2,,,
akalmāṣas,akalmāṣa,"Masculine",2,,,
akavaras,akavara,"Masculine",2,,,
akāras,akāra,"Masculine",2,,,
akālas,akāla,"Masculine",2,,,
akālakuṣmāṇḍas,akālakuṣmāṇḍa,"Masculine",2,,,
akālajaladodayas,akālajaladodaya,"Masculine",2,,,
akālameghodayas,akālameghodaya,"Masculine",2,,,
akāsāras,akāsāra,"Masculine",2,,,
akiñcanimā,akiñcaniman,"Masculine",3n,,,
akitavas,akitava,"Masculine",2,,,
akutaścanas,akutaścana,"Masculine",2,,,
akutaścalas,akutaścala,"Masculine",2,,,
akumāras,akumāra,"Masculine",2,,,
akumbhas,akumbha,"Masculine",2,,,
akulas,akula,"Masculine",2,,,
akuhas,akuha,"Masculine",2,,,
akuhakas,akuhaka,"Masculine",2,,,
akūpāras,akūpāra,"Masculine",2,,,
akūrcas,akūrca,"Masculine",2,,,
akṛtavraṇas,akṛtavraṇa,"Masculine",2,,,
akṛṣṭas,akṛṣṭa,"Masculine",2,,,
akoṭas,akoṭa,"Masculine",2,,,
akopas,akopa,"Masculine",2,,,
aktus,aktu,"Masculine",4u,,,
akras,akra,"Masculine",2,,,
akramas,akrama,"Masculine",2,,,
akrūras,akrūra,"Masculine",2,,,
akrodhas,akrodha,"Masculine",2,,,
akrodhanas,akrodhana,"Masculine",2,,,
aklamas,aklama,"Masculine",2,,,
akleśas,akleśa,"Masculine",2,,,
