145121,viṃśatis,viṃśati,Masculine,3i,20,twenty
145202,viviṃśatis,viviṃśati,Masculine,3i,22,Twenty-two
148930,viṃśatīśī,viṃśatīśin,Masculine,3n,25,Twenty-five
154353,saṭh,saṭh,Masculine,3s,60,Sixty
145790,ṣaṣṭiśālis,ṣaṣṭiśāli,Masculine,3i,65,Sixty-five
142999,daśaśatāṅghris,daśaśatāṅghri,Masculine,3i,1000 フィート,ten hundred feet
145444,śatapatis,śatapati,Masculine,3i,100周年,Centenary
143002,daśoṇis,daśoṇi,Masculine,3i,10分の1,Tenths
151857,aktus,aktu,Masculine,4u,10月,Oct
143208,dvādaśābdānantarāvalokanavidhis,dvādaśābdānantarāvalokanavidhi,Masculine,3i,12年後観察法,Twelve-year post-observation method
154186,dvādaśāyus,dvādaśāyus,Masculine,3con,12歳,Twelve-year-old
152708,dvādaśāṃśus,dvādaśāṃśu,Masculine,4u,12番目,Twelfth
141256,ṣoḍaśārcis,ṣoḍaśārcis,Masculine,3con,16 アルキス,Sixteen Archis
141255,ṣoḍan,ṣoḍat,Masculine,3con,16番目,Sixteenth
145796,ṣoḍaśāṃhris,ṣoḍaśāṃhri,Masculine,3i,16番目,Sixteenth
149365,ṣoḍaśī,ṣoḍaśin,Masculine,3n,16番目,Sixteenth
153763,ṣoḍaśāṃśus,ṣoḍaśāṃśu,Masculine,4u,16番目,Sixteenth
152494,janyus,janyu,Masculine,4u,1月,January
143518,pañcasaṃskāravidhis,pañcasaṃskāravidhi,Masculine,3i,5つの儀式方法,The five ritual methods
143508,pañcakaśāntividhis,pañcakaśāntividhi,Masculine,3i,5つの平和の方法,The five peace methods
143509,pañcakrośīyātrāvidhis,pañcakrośīyātrāvidhi,Masculine,3i,5億を旅する方法,The method of traveling five crores
141254,ṣaṭkarmavan,ṣaṭkarmavat,Masculine,3con,6つのアクションのように,Like the six actions
145784,ṣaṭkarmavyākhyānacintāmaṇis,ṣaṭkarmavyākhyānacintāmaṇi,Masculine,3i,6つのカルマの説明,Six Karma Explanation Chintamani
153758,ṣaḍbindus,ṣaḍbindu,Masculine,4u,6点,Six points
153801,saptadhātus,saptadhātu,Masculine,4u,7つの金属,Seven metals
151679,saptakṛt,saptakṛt,Masculine,3s,7回,seven times
150115,naunetā,naunetṛ,Masculine,3r,9人の指導者,Nine leaders
140626,adhyātmacetas,adhyātmacetas,Masculine,3con,Adhyatmachetas,Adhyatmachetas
141897,ejis,eji,Masculine,3i,AG,AG
141901,ais,ai,Masculine,3i,AI,AI
149875,apāṃnaptā,apāṃnaptṛ,Masculine,3r,Apannptr,Apannptr
140650,arcisārciṣman,arcisārciṣmat,Masculine,3con,Archisarchismat,Archisarchismat
150858,caramakṣmābhṛt,caramakṣmābhṛt,Masculine,3s,Charamakshabhrth,Charamakshabhrth
147345,caturvyūhavādī,caturvyūhavādin,Masculine,3n,Chaturvyuhavadin,Chaturvyuhavadin
142664,cīnācāraprayogavidhis,cīnācāraprayogavidhi,Masculine,3i,Chinachar 使用方法,Chinachar Usage Method
142987,darśapaurṇamāsaprāyaścittavidhis,darśapaurṇamāsaprāyaścittavidhi,Masculine,3i,Darshapournamasprayashchittavidhi,Darshapournamasprayashchittavidhi
150969,dāyatattvakṛt,dāyatattvakṛt,Masculine,3s,Dayattvakrt,Dayatattvakrt
152702,dravyaguṇādarśanighaṇṭus,dravyaguṇādarśanighaṇṭu,Masculine,4u,Dravyagunadarshanighantu,Dravyagunadarshanighantu
145351,vaiyākaraṇakhasūcis,vaiyākaraṇakhasūci,Masculine,3i,GrammarBIndex,GrammarBIndex
142757,jis,ji,Masculine,3i,征服,conquering
154048,hulus,hulu,Masculine,4u,牡羊,ram
150750,kṛt,kṛt,Masculine,3s,達成者、実行者、製造者、演者、演奏者、製作者、作曲家,"accomplisher, doer, maker, performer, manufacturer, composer"
148428,mammasvāmī,mammasvāmin,Masculine,3n,MMMSWAMIN,MMMSWAMIN
140913,nṛman,nṛmat,Masculine,3con,name of man,男性名
149481,sarvabhūtāntarātmā,sarvabhūtāntarātman,Masculine,3n,O すべての存在の中の自己,O Self within all beings
151150,pīyūṣabhuk,pīyūṣabhuj,Masculine,3s,Peeyushbhuj,Peeyushbhuj
151211,prāk,prāś,Masculine,3s,質問、質問者,"asking, inquiring, questioner"
153339,rasaśabdasāraṇinighaṇṭus,rasaśabdasāraṇinighaṇṭu,Masculine,4u,Rasashabdasaranighantu,Rasashabdasaraninighantu
144667,ratnacūḍamunis,ratnacūḍamuni,Masculine,3i,Ratnachoodmuni,Ratnachoodmuni
148566,mūlotpātanajīvī,mūlotpātanajīvin,Masculine,3n,Root-uprooting-living,Root-uprooting-living
153761,ṣus,ṣu,Masculine,4u,出産、配達,"child-bearing, parturition, delivery"
146079,sāhityacūḍāmaṇis,sāhityacūḍāmaṇi,Masculine,3i,SahityaChoodamani,SahityaChoodamani
145912,saprasādarādhākṛṣṇapratiṣṭhāvidhis,saprasādarādhākṛṣṇapratiṣṭhāvidhi,Masculine,3i,Saprasadaradhakrishnapratishthavidhi,Saprasadaradhakrishnapratishthavidhi
145441,śatacaṇḍīsahasracaṇḍīvidhis,śatacaṇḍīsahasracaṇḍīvidhi,Masculine,3i,Shatachandisahasrachandividhi,Shatachandisahasrachandividhi
146265,somadevaśrīkaralālabhairavapurapatis,somadevaśrīkaralālabhairavapurapati,Masculine,3i,SomdevShrikaralalBhairavapurapati,SomdevShrikaralalBhairavapurapati
151776,sūpakṛt,sūpakṛt,Masculine,3s,Soupkrt,Soupkrt
151795,sthūlavartmakṛt,sthūlavartmakṛt,Masculine,3s,stulavartmakart,sthulavartmakart
150490,svāyambhuvamanupitā,svāyambhuvamanupitṛ,Masculine,3r,Svayambhuvamanupitr,Svayambhuvamanupitr
146383,svacchandabhaṭṭārakabṛhatpūjāpattrikāvidhis,svacchandabhaṭṭārakabṛhatpūjāpattrikāvidhi,Masculine,3i,Swachchandabhattarakabrihatpoojapattrikavidhi,Swachchandabhattarakabrihatpoojapattrikavidhi
150033,taptā,taptṛ,Masculine,3r,暖房,heater
146364,sparśarephasaṃdhis,sparśarephasaṃdhi,Masculine,3i,TouchRefConjunction,TouchRefConjunction
150938,tridaśeśvaradvik,tridaśeśvaradviṣ,Masculine,3s,Tridashesvaradish,Tridashesvaradvish
148647,yūnarvā,yūnarvan,Masculine,3n,疑い,word of which the sense is doubtful
151470,vaḍabāvaktrahutabhuk,vaḍabāvaktrahutabhuj,Masculine,3s,Vadbavaktrahutabhuj,Vadbavaktrahutabhuj
149109,vaidyanāthadevaśarmā,vaidyanāthadevaśarman,Masculine,3n,Vaidyanathdeva シャーマン,Vaidyanathdeva Sharman
150379,vedāntarahasyavettā,vedāntarahasyavettṛ,Masculine,3r,Vedantarahasyavettr,Vedantarahasyavettr
148958,vidyādharacakravartī,vidyādharacakravartin,Masculine,3n,Vidyadharachakravartin,Vidyadharachakravartin
148959,vidyādharamahācakravartī,vidyādharamahācakravartin,Masculine,3n,Vidyadharamahachakravartin,Vidyadharamahachakravartin
154319,viśvedevṛ,viśvedevṛ,Masculine,3s,Visvedevavr,Visvedevavr
145227,viśveśvarāmbumunis,viśveśvarāmbumuni,Masculine,3i,Visvesvaraambumuni,Visvesvaraambumuni
154320,viśveśvarakālī,viśveśvarakālī,Masculine,3ilong,Visvesvarakali,Visvesvarakali
154322,viśveśvarānandasarasvatī,viśveśvarānandasarasvatī,Masculine,3ilong,Visvesvarana サラスワティ,Visvesvarana Saraswati
