6000,abalam,abala,"Neuter",2,弱い,weak
6001,abalyam,abalya,"Neuter",2,無効,Invalid
6002,abalīyastvam,abalīyastva,"Neuter",2,あなたは弱いです,You are weak
6003,abbhakṣaṇam,abbhakṣaṇa,"Neuter",2,吸収,absorption
6004,abdasahasram,abdasahasra,"Neuter",2,一千年,Thousand years
6005,abdatantram,abdatantra,"Neuter",2,アブダタントラ,Abdatantra
6006,abdaśatam,abdaśata,"Neuter",2,アブダシュト,Abdasht
6007,abdhimathanam,abdhimathana,"Neuter",2,アブディマタン,Abdhimathan
6008,abdurgam,abdurga,"Neuter",2,アブドゥルグ,Abdurg
6009,abdārdham,abdārdha,"Neuter",2,アブダルダ,Abdardha
6010,abhadram,abhadra,"Neuter",2,失礼,Rude
6011,abhaiṣajyam,abhaiṣajya,"Neuter",2,アビシャジャ,Abhishajya
6012,abhakṣaṇam,abhakṣaṇa,"Neuter",2,食べられない,Inedible
6013,abhakṣyabhakṣaṇam,abhakṣyabhakṣaṇa,"Neuter",2,食べられない,Inedible eating
6014,abhaujiṣyam,abhaujiṣya,"Neuter",2,アブハウジシャ,Abhaujishya
6015,abhayadānam,abhayadāna,"Neuter",2,アバヤダン,Abhayadan
6016,abhayam,abhaya,"Neuter",2,アバイ,Abhay
6017,abhayapattram,abhayapattra,"Neuter",2,アバヤパトラ,Abhayapattra
6018,abhayapradānam,abhayapradāna,"Neuter",2,セキュリティの提供,Providing security
6019,abhayatamam,abhayatama,"Neuter",2,アバヤム,Abhayam
6020,abhayavacanam,abhayavacana,"Neuter",2,アバヤバチャン,Abhayavachan
6021,abhedyam,abhedya,"Neuter",2,侵入できない,impenetrable
6022,abhedyatvam,abhedyatva,"Neuter",2,貫入不能,Impenetrability
6023,abhibalam,abhibala,"Neuter",2,アビバル,Abhibal
6024,abhibhavanam,abhibhavana,"Neuter",2,アビバヴァン,Abhibhavan
6025,abhibhāvanam,abhibhāvana,"Neuter",2,後見,guardianship
6026,abhibhāyatanam,abhibhāyatana,"Neuter",2,アビバヤタン,Abhibhayatan
6027,abhibhāṣaṇam,abhibhāṣaṇa,"Neuter",2,住所,Address
6028,abhibhāṣitam,abhibhāṣita,"Neuter",2,対処,addressed
6029,abhibhūyam,abhibhūya,"Neuter",2,圧倒する,Overwhelmed
6030,abhicakṣaṇam,abhicakṣaṇa,"Neuter",2,アビチャックシャン,Abhichakshan
6031,abhicaraṇam,abhicaraṇa,"Neuter",2,アビチャラン,Abhicharan
