"number","title","pageid","namespace","length","touched"
"1","अलाबु","7711017","","1071","20211114181219"
"2","आखु","1378975","","619","20200807042102"
"3","कद्रु","7824995","","1145","20211025022148"
"4","खर्जु","7852636","","821","20210615180737"
"5","गु","7139526","","642","20211230061336"
"6","जनु","7138749","","200","20220202161431"
"7","तनु","1090743","","2103","20220101060340"
"8","धेनु","1014182","","1151","20210716010534"
"9","पर्शु","1079773","","2596","20220101060809"
"10","पृथु","1079445","","2165","20211230073450"
"11","भानु","6387218","","1345","20220511131231"
"12","मनु","1101207","","2066","20211230075939"
"13","मन्तु","7138505","","706","20220215035353"
"14","मृत्यु","1110022","","2611","20220214164608"
"15","मृदु","1415905","","2342","20220527041330"
"16","रज्जु","6373819","","750","20211024055213"
"17","लघु","918747","","3488","20220529075158"
"18","लाबु","7851635","","493","20220101061459"
"19","वसु","1138760","","2083","20220224203748"
"20","वस्तु","183394","","2572","20220508210037"
"21","वास्तु","1138724","","1416","20211230082444"
"22","शरु","6262527","","423","20191016054700"
"23","सिन्धु","1103250","","2677","20220312030423"
"24","सूनु","82261","","2223","20220212015126"
"25","स्वादु","6246259","","2497","20211114181526"
"26","हनु","904289","","1631","20190508041102"
"27","हरेणु","7711149","","1369","20211114181532"
"28","हिन्दु","7891182","","639","20201228145917"
