50000,aṃśakalpanā,aṃśakalpanā,"Feminine",1,断片的な想像力,Fractional imagination
50001,aṃśaprakalpanā,aṃśaprakalpanā,"Feminine",1,一部仮説,Fractional hypothesis
50002,aṃśitā,aṃśitā,"Feminine",1,あんした,Anshita
50003,aṃśumatphalā,aṃśumatphalā,"Feminine",1,アンシュマトファラ,Anshumatphala
50004,aṃśumālā,aṃśumālā,"Feminine",1,アンシュマラ,Anshumala
50005,akanyā,akanyā,"Feminine",1,あかんや,Akanya
50006,akarā,akarā,"Feminine",1,アクラ,Akra
50007,akarmikā,akarmikā,"Feminine",1,アカルマカ,Akarmaka
50008,akalkatā,akalkatā,"Feminine",1,アルコール依存症,Alkalinity
50009,akalkā,akalkā,"Feminine",1,アカルカ,Akalka
50010,akāmatā,akāmatā,"Feminine",1,無能,Inability
50011,akāyikā,akāyikā,"Feminine",1,あかいか,Akaika
50012,akālavelā,akālavelā,"Feminine",1,飢饉,Famine
50013,akiñcanatā,akiñcanatā,"Feminine",1,寡欲,Unselfishness
50014,akulatā,akulatā,"Feminine",1,不安,Anxiety
50015,akulā,akulā,"Feminine",1,アクラ,Akula
50016,akūpārā,akūpārā,"Feminine",1,アクパラ,Acupara
50017,akṛtajñatā,akṛtajñatā,"Feminine",1,忘恩,Ingratitude
50018,akṛtā,akṛtā,"Feminine",1,未完成,Unfinished
50019,akkā,akkā,"Feminine",1,アッカ,Acca
50020,aktā,aktā,"Feminine",1,アクタ,Acta
50021,akrāntā,akrāntā,"Feminine",1,アクランタ,Akranta
50022,akriyā,akriyā,"Feminine",1,非アクティブ,Inactivity
50023,aklikā,aklikā,"Feminine",1,アクリカ,Aclica
50024,akṣatā,akṣatā,"Feminine",1,アクシャタ,Akshata
50025,akṣadhurā,akṣadhurā,"Feminine",1,軸 軸,axis axis
50026,akṣapīḍā,akṣapīḍā,"Feminine",1,軸の痛み,Axial pain
50027,akṣabhā,akṣabhā,"Feminine",1,軸,axis
50028,akṣamatā,akṣamatā,"Feminine",1,無能,Incompetence
50029,akṣamā,akṣamā,"Feminine",1,許されない,Unforgivable
50030,akṣamālā,akṣamālā,"Feminine",1,軸,Axis
50031,akṣamālikā,akṣamālikā,"Feminine",1,軸シリーズ,Axis series
50032,akṣayatā,akṣayatā,"Feminine",1,無尽蔵,Inexhaustibility
50033,akṣayatṛtīyā,akṣayatṛtīyā,"Feminine",1,アクシャヤ・トリティヤ,Akshaya Tritiya
50034,akṣayā,akṣayā,"Feminine",1,アクシャヤ,Akshaya
50035,akṣaratūlikā,akṣaratūlikā,"Feminine",1,キャラクター,Characters
50036,akṣaramuṣṭikā,akṣaramuṣṭikā,"Feminine",1,文字拳,Letter fist
50037,akṣaraśikṣā,akṣaraśikṣā,"Feminine",1,リテラシー,Literacy
50038,akṣarasaṃhitā,akṣarasaṃhitā,"Feminine",1,アルファベット,Alphabet
50039,akṣarā,akṣarā,"Feminine",1,アクシャラ,Akshara
50040,akṣaśikṣā,akṣaśikṣā,"Feminine",1,軸教育,Axis education
50041,akṣitārā,akṣitārā,"Feminine",1,アクシャラ,Akshara
50042,akṣuṇṇatā,akṣuṇṇatā,"Feminine",1,威厳,Integrity
50043,akṣobhyā,akṣobhyā,"Feminine",1,揺るぎない,Unshakable
50044,akṣṇayāstomīyā,akṣṇayāstomīyā,"Feminine",1,アクシャストミア,Akshyastomia
50045,akharvā,akharvā,"Feminine",1,アハルバ,Akharva
50046,agajā,agajā,"Feminine",1,アガジャ,Agaja
50047,agamyagā,agamyagā,"Feminine",1,アガミャガ,Agamyaga
50048,agamyā,agamyā,"Feminine",1,アクセスできない,inaccessible
50049,agarbhā,agarbhā,"Feminine",1,妊娠中,Pregnant
50050,agastyagītā,agastyagītā,"Feminine",1,アガスティア・ギータ,Agastya Gita
50051,agastyasaṃhitā,agastyasaṃhitā,"Feminine",1,アガスティア・サムヒタ,Agastya Samhita
50052,agātmajā,agātmajā,"Feminine",1,アガトマジャ,Agatmaja
50053,aguṇatā,aguṇatā,"Feminine",1,品質,Quality
50054,agṛhatā,agṛhatā,"Feminine",1,受容性がない,Unreceptiveness
